date,USDCHF,GBPUSD,USDJPY,NZDUSD,EURCHF,CHFJPY,CADCHF,GBPJPY,GBPCAD,CADJPY,AUDJPY,NZDCAD,empty,sum
2018.07.24,-164.00000000000858,195.9999999999962,-82.00000000000784,49.99999999999449,168.99999999999693,-257.99999999999557,17.000000000000348,-363.00000000002797,334.00000000001205,-313.99999999999295,-447.00000000000273,204.99999999999963,,-657.000000000036
2018.07.24,-99.00000000000463,180.0000000000024,-78.00000000000296,42.999999999993044,193.99999999998306,-72.99999999999329,51.99999999999649,-350.00000000002274,323.0000000000066,-290.9999999999968,-414.99999999999204,195.00000000000074,,-319.0000000000302
2018.07.24,-126.0000000000039,150.00000000000568,-40.00000000000625,29.999999999996696,175.99999999999838,-34.99999999999659,29.999999999996696,-267.00000000002433,341.99999999999784,-256.0000000000002,-390.99999999999113,178.00000000000037,,-209.00000000002674
2018.07.24,-169.00000000000804,173.00000000000094,7.999999999995566,74.99999999999174,156.00000000000057,-18.000000000000682,4.000000000004,-217.00000000001296,357.00000000000733,-225.9999999999991,-378.0000000000001,160.00000000000458,,-75.00000000001612
2018.07.24,-162.0000000000066,177.00000000000495,76.99999999999818,90.99999999999665,135.9999999999806,48.00000000000182,12.999999999996348,-142.00000000002433,361.9999999999957,-191.99999999999307,-382.000000000005,150.00000000000568,,175.9999999999509
2018.07.24,-143.9999999999997,148.99999999999915,-96.00000000000364,83.9999999999952,134.99999999999625,-105.99999999999454,14.000000000002899,-366.00000000001387,356.00000000000074,-322.9999999999933,-518.0000000000007,126.99999999999933,,-688.0000000000122
2018.07.24,-137.00000000000932,190.00000000000128,-143.00000000000068,90.99999999999665,160.99999999998892,-155.9999999999917,40.00000000000669,-445.0000000000216,371.99999999999454,-369.99999999999034,-569.0000000000026,146.00000000000168,,-820.0000000000265
2018.07.24,-133.00000000000534,140.0000000000068,-310.0000000000023,19.999999999997797,148.99999999999915,-323.99999999999807,31.000000000003247,-685.0000000000023,377.0000000000051,-516.9999999999959,-777.000000000001,143.9999999999997,,-1884.999999999993
2018.07.24,-133.00000000000534,131.99999999999878,-255.00000000000966,-39.00000000000014,147.99999999999258,-243.99999999999977,31.999999999998696,-558.0000000000211,387.000000000004,-456.00000000000307,-667.9999999999922,213.00000000000762,,-1441.0000000000296
2018.07.24,-136.00000000000279,113.00000000000753,-192.00000000000728,-55.000000000005045,150.99999999999002,-158.00000000000125,29.999999999996696,-443.00000000001205,339.0000000000004,-344.99999999999886,-509.00000000000034,231.0000000000034,,-974.0000000000293
2018.07.24,-135.00000000000733,168.0000000000126,-154.00000000001057,4.999999999999449,198.99999999999363,-155.00000000000114,35.00000000000725,-444.0000000000168,341.00000000001353,-352.99999999999443,-498.9999999999952,215.00000000000963,,-776.9999999999894
2018.07.24,-137.00000000000932,170.00000000000347,-133.00000000000978,34.99999999999615,214.99999999998744,-152.9999999999916,31.000000000003247,-440.00000000002615,320.00000000000915,-338.99999999999864,-469.99999999999886,172.00000000000549,,-729.0000000000294
2018.07.24,-150.00000000000568,234.00000000000088,-76.99999999999818,54.999999999993946,211.99999999998997,-112.99999999999955,26.000000000003798,-385.0000000000193,314.99999999999864,-307.00000000000216,-439.9999999999977,174.00000000000747,,-456.00000000002797
2018.07.24,-142.00000000000878,228.00000000000597,-85.99999999999852,78.00000000000028,205.99999999999508,-116.99999999999022,36.999999999998145,-415.00000000002046,334.9999999999964,-326.9999999999982,-468.9999999999941,170.99999999999892,,-501.0000000000154
2018.07.24,-214.00000000000307,232.99999999999432,-64.00000000000716,86.99999999999264,217.0000000000005,-144.99999999999602,29.000000000001247,-436.00000000000705,303.9999999999932,-326.9999999999982,-530.9999999999917,96.00000000000719,,-751.0000000000141
2018.07.24,-217.0000000000005,273.0000000000121,-76.99999999999818,139.00000000000023,196.99999999998053,-177.99999999999727,7.9999999999968985,-472.0000000000084,276.00000000000955,-329.9999999999983,-530.9999999999917,84.0000000000063,,-827.9999999999887
2018.07.24,-204.00000000000418,253.99999999999866,-76.00000000000762,121.99999999999989,185.99999999999727,-162.9999999999967,2.000000000002,-435.0000000000023,282.0000000000045,-322.00000000000273,-515.9999999999911,95.00000000000064,,-775.0000000000016
2018.07.24,-303.0000000000088,269.9999999999925,-76.99999999999818,115.99999999999389,192.99999999999872,-206.99999999999363,-31.000000000003247,-509.00000000001455,195.9999999999962,-325.9999999999934,-542.0000000000016,91.00000000000774,,-1129.0000000000243
2018.07.24,-363.0000000000022,344.99999999999534,-18.000000000000682,156.00000000000057,148.99999999999915,-268.99999999999125,-75.00000000000284,-563.0000000000166,170.00000000000347,-360.99999999999,-614.0000000000043,99.00000000000463,,-1344.0000000000048
2018.07.24,-331.999999999999,120.99999999999334,-173.00000000000182,48.99999999999905,134.99999999999625,-363.9999999999901,-43.999999999999595,-607.0000000000277,236.99999999999832,-421.99999999999704,-658.9999999999918,124.00000000000189,,-1935.0000000000182
2018.07.24,-243.99999999999977,-87.99999999999919,-230.00000000000398,-33.000000000005244,62.99999999999084,-307.00000000000216,-14.000000000002899,-450.00000000001705,487.99999999999955,-411.9999999999919,-629.9999999999955,229.00000000000142,,-1628.000000000026
2018.07.24,-287.9999999999994,45.000000000006146,-209.00000000000318,-43.00000000000415,52.99999999999194,-340.999999999994,-73.00000000000084,-435.0000000000023,419.0000000000138,-384.9999999999909,-542.0000000000016,269.00000000000813,,-1529.9999999999761
2018.07.24,-294.00000000000534,66.99999999999484,-142.00000000001012,5.999999999994898,85.00000000000173,-337.0000000000033,-85.99999999999719,-416.00000000002524,353.0000000000033,-369.99999999999034,-527.000000000001,239.0000000000003,,-1422.0000000000375
2018.07.24,-254.00000000000978,12.000000000012001,-204.9999999999983,-24.000000000001798,71.99999999998319,-341.99999999999875,-100.99999999999554,-378.0000000000143,422.9999999999956,-366.9999999999902,-524.0000000000009,243.00000000000432,,-1445.0000000000143
2018.07.24,-273.000000000001,52.000000000007596,-186.9999999999976,-28.000000000005798,82.99999999998863,-329.9999999999983,-70.99999999999883,-391.00000000001955,431.0000000000036,-375.99999999999056,-495.9999999999951,238.0000000000049,,-1348.0000000000018
