date,USDCAD,GBPCHF,EURGBP,GBPJPY,EURAUD,CADJPY,empty,sum
2017.04.19,-825.0000000000091,2333.0000000000073,1049.0,3080.999999999989,1943.000000000006,-560.9999999999928,,7020.0
2017.04.19,-822.0000000000116,2330.00000000001,1053.0000000000039,3089.999999999975,1980.000000000004,-560.9999999999928,,7069.999999999989
2017.04.19,-890.000000000013,2295.0000000000027,1007.9999999999978,2903.9999999999964,2218.999999999993,-679.9999999999926,,6855.999999999984
2017.04.19,-913.0000000000083,2279.999999999993,995.0000000000015,2935.9999999999786,2313.9999999999936,-625.0,,6986.999999999959
2017.04.19,-920.0000000000097,2255.000000000007,994.000000000006,2846.99999999998,2368.999999999999,-658.0000000000013,,6886.999999999982
2017.04.19,-910.0000000000108,2266.999999999997,996.000000000008,2855.9999999999945,2381.000000000011,-664.999999999992,,6925.000000000007
2017.04.19,-887.9999999999999,2320.9999999999955,1035.0000000000082,3030.000000000001,2401.0000000000086,-589.9999999999892,,7309.000000000024
2017.04.19,-887.0000000000156,2309.0000000000055,1023.0000000000073,2973.9999999999895,2418.999999999993,-597.999999999999,,7239.999999999981
2017.04.19,-898.000000000021,2296.9999999999936,1021.0000000000052,2950.9999999999936,2402.9999999999995,-608.9999999999947,,7164.999999999976
2017.04.19,-890.000000000013,2313.9999999999936,1016.0000000000058,3026.999999999987,2410.000000000001,-583.999999999989,,7292.9999999999845
2017.04.19,-887.9999999999999,2339.0000000000023,1033.0000000000061,3155.000000000001,2495.0000000000027,-515.9999999999911,,7618.000000000021
2017.04.19,-1009.0000000000155,2232.000000000012,960.0000000000053,3059.9999999999736,2439.9999999999977,-547.9999999999876,,7134.999999999985
2017.04.19,-1025.0000000000093,2232.000000000012,963.9999999999982,3090.99999999998,2524.9999999999995,-555.9999999999974,,7230.999999999983
2017.04.19,-1121.0000000000164,2215.999999999996,968.0000000000022,3140.999999999991,2645.0000000000086,-573.9999999999981,,7274.999999999984
2017.04.19,-1106.000000000007,2088.000000000001,868.9999999999975,3241.99999999999,2865.0000000000064,-524.9999999999915,,7432.999999999996
2017.04.19,-1141.0000000000143,2117.9999999999977,896.000000000008,3190.999999999974,2702.0000000000045,-537.9999999999967,,7227.999999999974
2017.04.19,-1159.0000000000211,2219.9999999999995,980.0000000000031,3288.9999999999873,2581.000000000011,-530.0000000000011,,7380.999999999979
2017.04.19,-1244.0000000000007,2187.0000000000055,975.0000000000036,3256.9999999999764,2506.000000000008,-531.9999999999965,,7148.999999999996
2017.04.19,-1274.0000000000196,2109.0000000000055,1002.0000000000028,3388.999999999982,2612.9999999999986,-566.9999999999931,,7271.999999999976
2017.04.19,-1243.0000000000164,2137.000000000011,1004.0000000000049,3438.9999999999927,2638.9999999999914,-542.9999999999922,,7432.999999999992
2017.04.19,-1175.000000000015,2225.9999999999945,1009.0000000000043,3480.9999999999945,2604.0000000000064,-534.9999999999966,,7609.999999999988
2017.04.19,-1157.000000000008,2286.0000000000105,1055.000000000006,3534.9999999999964,2519.0000000000045,-534.9999999999966,,7703.000000000013
2017.04.19,-1213.0000000000196,2427.0000000000014,1106.000000000007,3702.9999999999745,2442.000000000011,-475.9999999999991,,7988.999999999975
2017.04.19,-1331.9999999999998,2441.000000000004,1127.0000000000002,3740.9999999999854,2475.000000000005,-545.9999999999923,,7906.000000000002
