date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPAUD,EURJPY,EURCAD,CADJPY,AUDNZD,empty,sum
2018.11.06,-35.00000000000725,-839.0000000000119,-422.9999999999956,-417.99999999998505,326.9999999999995,-1070.0000000000043,-857.999999999981,-229.00000000000142,-535.0000000000077,-1061.000000000001,-286.99999999999284,-356.00000000000074,-814.9999999999977,817.000000000001,-94.0000000000083,-856.9999999999967,,-6732.999999999991
2018.11.07,-77.00000000001594,-815.9999999999945,-418.9999999999916,-356.9999999999851,418.0000000000073,-1087.0000000000045,-793.9999999999836,-264.999999999993,-512.0000000000014,-1056.0000000000014,-282.99999999999994,-354.0000000000099,-808.9999999999975,795.9999999999967,-67.00000000000728,-971.9999999999951,,-6653.999999999977
2018.11.07,-78.00000000000028,-791.9999999999927,-392.9999999999989,-362.99999999998,422.00000000000017,-1085.9999999999982,-744.9999999999957,-251.00000000000122,-507.0000000000019,-1073.9999999999973,-261.0000000000001,-326.0000000000041,-763.0000000000052,790.0000000000018,-67.00000000000728,-947.9999999999933,,-6441.999999999974
2018.11.07,-15.00000000000945,-839.0000000000119,-434.9999999999854,-370.999999999988,426.9999999999996,-1048.0000000000045,-811.9999999999905,-232.99999999999432,-497.99999999999847,-1055.000000000006,-242.99999999999324,-119.00000000000244,-818.000000000012,812.0000000000127,-84.00000000000318,-943.9999999999893,,-6274.999999999976
2018.11.07,-131.99999999999878,-907.9999999999977,-560.9999999999893,-373.00000000000114,430.00000000000813,-1095.0000000000016,-807.9999999999865,-265.99999999999955,-487.0000000000041,-1058.0000000000034,-220.99999999999343,-76.0000000000094,-871.0000000000093,904.0000000000159,-88.00000000000807,-929.000000000002,,-6538.999999999981
2018.11.07,-130.0000000000079,-910.0000000000108,-558.9999999999984,-359.99999999998255,422.00000000000017,-1087.0000000000045,-781.9999999999939,-302.0000000000023,-423.0000000000067,-1017.0000000000013,-209.9999999999991,11.00000000000545,-865.0000000000091,977.0000000000057,-71.00000000001216,-966.9999999999845,,-6273.000000000001
2018.11.07,-342.000000000009,-1195.999999999997,-841.0000000000028,-362.99999999998,406.00000000000637,-1329.0000000000025,-838.9999999999898,-397.0000000000029,-440.00000000000705,-1138.0000000000057,-236.00000000000287,-25.00000000000835,-885.9999999999957,992.9999999999994,9.999999999990905,-1101.9999999999807,,-7724.999999999987
2018.11.07,-378.00000000000057,-1114.9999999999993,-872.0000000000061,-533.99999999999,219.00000000000253,-1253.000000000004,-847.9999999999822,-414.9999999999987,-429.99999999999704,-1050.0000000000066,-251.00000000000122,-32.999999999994145,-887.0000000000005,757.0000000000076,-175.00000000001137,-1037.9999999999834,,-8302.999999999965
2018.11.07,21.999999999988695,-835.000000000008,-451.0000000000014,-484.9999999999799,299.00000000000483,-1092.9999999999995,-895.9999999999857,-243.99999999999977,-456.00000000000085,-1127.0000000000002,-244.99999999999523,106.99999999999044,-914.0000000000157,853.9999999999992,-118.99999999999977,-1109.9999999999889,,-6692.999999999993
2018.11.07,93.99999999999409,-724.9999999999978,-357.99999999999164,-695.9999999999856,219.99999999999798,-1070.9999999999998,-888.9999999999842,-259.9999999999936,-441.99999999999795,-1139.9999999999966,-295.99999999999625,140.99999999999113,-995.0000000000045,727.9999999999953,-152.00000000000102,-1145.9999999999804,,-6986.999999999951
2018.11.07,-117.99999999999588,-961.9999999999961,-560.0000000000049,-661.9999999999848,270.99999999999903,-1107.999999999998,-884.9999999999802,-409.99999999999926,-413.0000000000078,-1102.9999999999984,-253.99999999999866,226.99999999999943,-1027.0000000000152,1055.000000000006,-100.99999999999909,-1139.9999999999854,,-7189.999999999961
2018.11.07,-156.00000000000057,-1042.0000000000095,-617.0000000000009,-493.99999999999443,402.00000000000233,-1178.0000000000014,-858.9999999999875,-398.9999999999938,-429.0000000000016,-1094.0000000000061,-227.99999999999488,96.99999999999153,-1000.0,1131.9999999999998,-42.00000000000159,-1103.9999999999939,,-7010.999999999992
2018.11.07,-273.000000000001,-1200.0000000000011,-800.9999999999851,-412.9999999999967,487.99999999999955,-1357.0000000000082,-871.9999999999839,-356.9999999999962,-507.0000000000019,-1185.9999999999982,-242.99999999999324,-49.99999999999449,-1022.9999999999961,1086.000000000009,-45.000000000001705,-1105.0000000000005,,-7857.999999999951
2018.11.07,-357.00000000000733,-1219.9999999999989,-852.9999999999926,-237.99999999998266,628.0000000000064,-1423.0000000000075,-864.9999999999825,-404.99999999999983,-558.9999999999984,-1258.999999999999,-202.0000000000022,-158.99999999999804,-1073.0000000000075,1154.999999999995,-49.000000000006594,-1171.9999999999952,,-8050.999999999976
2018.11.07,-315.0000000000097,-1256.0000000000127,-818.9999999999919,-220.99999999998232,712.0000000000015,-1449.0000000000002,-866.9999999999956,-341.0000000000024,-583.0000000000002,-1248.0000000000045,-219.00000000000253,-429.99999999999704,-991.0000000000139,1175.9999999999993,-22.00000000000557,-1117.9999999999968,,-7991.000000000015
2018.11.07,-294.00000000000534,-1109.0000000000043,-760.9999999999894,-235.99999999999176,653.999999999999,-1370.0000000000045,-752.9999999999815,-354.9999999999942,-556.0000000000009,-1219.0000000000034,-169.99999999999238,-343.00000000000443,-953.000000000003,1116.000000000006,-34.000000000006025,-1064.9999999999827,,-7447.99999999996
2018.11.07,-241.00000000000233,-1062.9999999999918,-709.0000000000041,-339.99999999998477,570.0000000000039,-1352.0000000000086,-776.9999999999833,-356.9999999999962,-513.0000000000078,-1214.0000000000039,-182.99999999999983,-232.00000000000998,-937.9999999999882,1097.0000000000146,-26.00000000001046,-1169.9999999999823,,-7447.9999999999545
2018.11.07,-234.00000000000088,-1059.9999999999943,-702.0000000000026,-439.99999999999596,526.0000000000042,-1373.000000000002,-760.9999999999894,-395.99999999999636,-485.0000000000021,-1238.0000000000057,-176.99999999999383,-113.99999999999189,-848.9999999999895,1192.0000000000152,69.99999999999318,-1169.9999999999823,,-7210.999999999933
2018.11.07,-199.00000000001583,-1000.0000000000009,-641.999999999987,-455.99999999998977,479.0000000000072,-1280.9999999999989,-802.9999999999982,-404.99999999999983,-446.9999999999974,-1170.0000000000043,-239.99999999999577,-86.99999999999264,-736.9999999999948,1097.0000000000146,164.00000000000148,-1135.9999999999814,,-6862.999999999933
2018.11.07,-269.00000000000813,-1110.000000000011,-746.0000000000023,-469.99999999999267,480.99999999999807,-1260.0000000000055,-828.9999999999909,-424.9999999999976,-453.99999999999886,-1097.999999999999,-227.99999999999488,7.0000000000014495,-772.9999999999961,1117.9999999999968,123.99999999999523,-1065.999999999989,,-6997.999999999994
