date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,AUDJPY,AUDCAD,empty,sum
2015.08.18,263.0000000000021,-680.9999999999983,-383.0,172.00000000001125,-4.999999999988347,-43.999999999999595,242.99999999999324,-235.00000000000742,-229.99999999999687,610.9999999999949,119.00000000000244,602.0000000000039,861.0000000000007,653.9999999999768,-361.99999999999477,-507.9999999999973,-504.9999999999999,1340.9999999999923,-164.00000000000148,-92.00000000000318,,1656.9999999999905
2015.08.18,272.00000000000557,-699.0000000000052,-408.9999999999927,187.00000000001182,36.0000000000138,-25.999999999992696,242.99999999999324,-217.0000000000005,-221.99999999999997,634.0000000000013,117.99999999999588,566.9999999999789,852.0000000000305,641.999999999987,-361.99999999999477,-480.99999999999807,-502.00000000000244,1410.0000000000002,-156.0000000000059,-92.00000000000318,,1795.0000000000223
2015.08.18,240.00000000000688,-699.9999999999895,-398.9999999999938,206.00000000000307,30.0000000000189,-12.000000000000899,256.99999999999613,-209.00000000000364,-209.00000000000364,622.0000000000003,124.00000000000189,560.0000000000023,810.0000000000218,590.0000000000016,-332.9999999999984,-458.00000000000284,-473.0000000000123,1387.9999999999893,-155.00000000000114,-77.00000000000485,,1802.0000000000312
2015.08.18,248.00000000000378,-750.0000000000063,-408.9999999999927,207.00000000000784,64.0000000000196,-5.999999999994898,252.0000000000078,-187.9999999999993,-187.00000000000384,644.0000000000001,131.00000000000333,587.9999999999939,777.0000000000276,544.0000000000111,-330.0000000000125,-443.99999999999994,-446.9999999999974,1428.000000000007,-137.00000000000045,-70.0000000000034,,1915.0000000000712
2015.08.18,253.0000000000032,-713.9999999999924,-414.00000000000324,217.00000000001296,68.00000000000139,23.00000000000635,224.000000000002,-197.00000000000273,-190.99999999999673,649.999999999995,109.00000000000354,548.9999999999782,736.0000000000255,523.0000000000068,-337.0000000000175,-459.99999999999375,-409.0000000000149,1428.9999999999914,-114.00000000000432,-89.00000000000574,,1855.999999999995
2015.08.18,248.00000000000378,-692.0000000000038,-407.0000000000018,208.00000000001262,37.00000000002035,-57.99999999999139,191.99999999999218,-233.00000000000543,-257.0000000000072,676.9999999999943,112.99999999999643,524.9999999999773,758.9999999999985,465.99999999998863,-319.0000000000168,-459.99999999999375,-522.0000000000002,1557.0000000000084,-204.00000000000773,-121.00000000000443,,1508.99999999996
2015.08.18,234.99999999999633,-706.999999999991,-380.00000000000256,157.0000000000107,2.0000000000131024,-134.99999999999625,170.00000000000347,-260.00000000000466,-329.999999999997,766.0,114.99999999999844,549.999999999983,846.9999999999977,469.99999999997044,-336.00000000001273,-495.000000000001,-689.0000000000063,1737.999999999995,-272.99999999999613,-195.00000000000074,,1249.9999999999598
2015.08.18,223.00000000000654,-668.0000000000019,-426.9999999999996,192.00000000000728,21.00000000000435,-119.99999999999788,202.9999999999976,-202.0000000000022,-301.0000000000068,809.9999999999997,92.99999999999864,459.99999999997954,763.0000000000248,788.0000000000109,-331.0000000000173,-478.0000000000006,-673.0000000000125,1903.9999999999945,-289.0000000000015,-206.00000000000617,,1761.9999999999775
2015.08.18,226.00000000000398,-682.0000000000048,-375.9999999999986,207.00000000000784,40.0000000000178,-71.99999999999429,273.9999999999965,-181.00000000000892,-243.00000000000432,783.0000000000003,131.00000000000333,528.9999999999964,795.0000000000124,740.0000000000073,-302.99999999999727,-415.99999999999415,-541.9999999999981,1818.999999999993,-222.99999999999898,-158.0000000000026,,2348.000000000037
2015.08.18,229.00000000000142,-672.9999999999902,-388.9999999999949,201.00000000000762,23.00000000001745,-71.99999999999429,266.999999999995,-197.00000000000273,-229.00000000000142,805.0000000000001,117.00000000000044,494.9999999999761,804.000000000027,686.0000000000089,-310.0000000000023,-463.9999999999977,-537.0000000000097,1889.0000000000073,-212.0000000000033,-141.99999999999767,,2291.0000000000473
