date,EURUSD,USDCAD,CHFJPY,EURJPY,EURNZD,NZDCAD,empty,sum
2019.05.01,-791.0000000000084,-729.0000000000018,-59.99999999998806,-728.9999999999992,-1401.999999999992,454.9999999999943,,-3255.9999999999945
2019.05.01,-792.0000000000149,-759.999999999983,-56.99999999998795,-763.0000000000052,-1402.9999999999986,497.000000000003,,-3277.9999999999864
2019.05.01,-786.00000000002,-758.9999999999985,-50.99999999998772,-781.9999999999965,-1315.9999999999839,475.99999999999864,,-3217.9999999999877
2019.05.01,-773.0000000000015,-734.9999999999968,-78.99999999999352,-767.0000000000101,-1266.999999999996,437.999999999994,,-3183.0000000000036
2019.05.01,-803.0000000000203,-773.0000000000015,-67.99999999999784,-852.0000000000039,-1404.9999999999895,441.99999999999795,,-3459.0000000000155
2019.05.01,-793.0000000000215,-780.000000000003,-48.99999999999238,-838.9999999999986,-1407.999999999987,534.9999999999966,,-3334.0000000000064
2019.05.01,-795.0000000000124,-771.9999999999949,-50.99999999998772,-834.0000000000032,-1405.9999999999961,532.9999999999945,,-3325.0
2019.05.01,-789.0000000000175,-768.9999999999975,-54.99999999999261,-832.0000000000078,-1363.9999999999875,531.9999999999991,,-3277.0000000000036
2019.05.01,-789.0000000000175,-777.9999999999898,-71.99999999998852,-819.0000000000026,-1337.9999999999948,497.000000000003,,-3298.9999999999905
2019.05.01,-795.0000000000124,-758.9999999999985,-87.99999999999386,-820.0000000000074,-1320.9999999999943,492.999999999999,,-3290.0000000000073
2019.05.01,-810.0000000000218,-771.9999999999949,-86.99999999998909,-843.0000000000035,-1366.999999999985,487.0000000000041,,-3391.9999999999905
2019.05.01,-799.0000000000164,-729.0000000000018,-40.99999999999682,-884.0000000000003,-1427.9999999999848,512.9999999999968,,-3368.000000000003
2019.05.01,-875.0000000000035,-679.9999999999917,-31.999999999996476,-930.9999999999974,-1505.0000000000007,470.9999999999992,,-3551.999999999991
2019.05.01,-907.0000000000133,-714.999999999999,21.000000000000796,-927.0000000000067,-1478.999999999986,421.0000000000047,,-3585.9999999999995
2019.05.01,-906.0000000000068,-719.9999999999873,80.0000000000125,-921.999999999997,-1374.999999999993,382.00000000000455,,-3460.9999999999673
2019.05.01,-892.0000000000039,-654.9999999999834,91.00000000000819,-902.000000000001,-1380.0000000000034,348.00000000000387,,-3389.99999999998
2019.05.01,-975.0000000000148,-708.9999999999818,121.00000000000932,-897.0000000000056,-1326.9999999999893,298.9999999999937,,-3487.999999999988
2019.05.01,-1002.000000000014,-700.999999999996,126.00000000000477,-894.0000000000055,-1404.0000000000052,288.9999999999948,,-3586.0000000000214
2019.05.01,-995.0000000000125,-651.9999999999859,124.00000000000944,-859.0000000000089,-1363.9999999999875,273.000000000001,,-3472.9999999999845
2019.05.01,-989.0000000000176,-661.9999999999848,136.0000000000099,-865.0000000000091,-1458.9999999999882,295.0000000000008,,-3543.9999999999886
2019.05.01,-979.0000000000188,-604.9999999999889,121.99999999999989,-828.000000000003,-1485.000000000003,329.00000000000153,,-3446.0000000000123
2019.05.01,-976.0000000000213,-573.9999999999857,118.00000000000921,-819.0000000000026,-1510.9999999999957,295.99999999999625,,-3466.0
2019.05.01,-978.0000000000122,-563.0000000000024,101.0000000000133,-841.0000000000082,-1546.9999999999873,273.000000000001,,-3554.999999999996
2019.05.01,-920.0000000000097,-591.9999999999925,150.00000000000568,-844.9999999999989,-1600.9999999999857,346.9999999999973,,-3460.9999999999836
2019.05.01,-885.0000000000025,-565.9999999999999,139.00000000001,-823.0000000000075,-1634.000000000002,419.00000000000273,,-3349.999999999999
2019.05.01,-895.0000000000014,-548.9999999999995,149.0000000000009,-793.9999999999969,-1661.9999999999857,400.9999999999958,,-3349.999999999987
2019.05.01,-1085.0000000000027,-624.0000000000023,111.0000000000042,-817.9999999999978,-1726.0000000000052,319.99999999999807,,-3822.0000000000055
2019.05.01,-1083.0000000000118,-592.9999999999991,130.00000000000966,-823.9999999999981,-1844.9999999999854,278.00000000000045,,-3936.999999999985
2019.05.01,-1106.000000000007,-468.00000000000176,111.0000000000042,-807.0000000000022,-1775.9999999999998,237.99999999999378,,-3808.0000000000127
2019.05.01,-1092.000000000004,-439.99999999999596,191.0000000000025,-786.0000000000014,-1818.999999999993,263.99999999999756,,-3681.999999999994
2019.05.01,-1075.0000000000036,-385.99999999999744,187.00000000001182,-795.0000000000017,-1862.9999999999925,265.99999999999955,,-3665.999999999984
2019.05.01,-1054.0000000000216,-340.9999999999913,183.00000000000693,-772.0000000000056,-1888.9999999999852,254.99999999999412,,-3618.0000000000023
2019.05.01,-1072.0000000000064,-354.9999999999942,183.00000000000693,-769.999999999996,-1846.9999999999986,249.99999999999466,,-3610.9999999999936
2019.05.01,-1083.0000000000118,-454.9999999999832,154.00000000001057,-769.0000000000055,-1861.0000000000016,187.00000000000384,,-3826.999999999988
2019.05.01,-1254.0000000000218,-624.0000000000023,134.00000000000034,-915.0000000000063,-1829.9999999999982,122.99999999999534,,-4366.000000000033
