date,GBPUSD,USDCAD,AUDUSD,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDCAD,empty,sum
2017.04.26,86.99999999999264,-1204.9999999999893,-337.99999999999386,319.9999999999932,-443.0000000000045,-162.0000000000066,590.0000000000016,-216.0000000000051,-746.0000000000093,1603.9999999999832,1544.000000000012,1040.0000000000186,-2561.9999999999977,-246.9999999999999,70.99999999999795,434.9999999999965,,-228.00000000001046
2017.04.26,97.00000000001374,-1208.9999999999934,-341.99999999999784,325.9999999999934,-422.9999999999956,-132.0000000000099,570.9999999999993,-202.0000000000022,-801.0000000000161,1602.9999999999989,1475.000000000004,992.0000000000151,-2538.000000000018,-234.00000000000887,43.99999999999693,445.0000000000065,,-328.00000000001455
2017.04.26,80.00000000001339,-1214.0000000000039,-342.9999999999933,299.0000000000066,-412.00000000000125,-133.00000000000534,595.9999999999966,-204.99999999999963,-769.0000000000055,1580.999999999988,1497.9999999999993,1045.000000000007,-2529.0000000000036,-243.99999999999977,67.99999999999784,485.0000000000021,,-197.00000000000097
2017.04.26,80.99999999999774,-1214.9999999999884,-369.99999999999255,358.0000000000041,-429.0000000000016,-175.00000000000293,606.0000000000065,-260.00000000000466,-1091.0000000000082,1588.999999999996,1522.0000000000011,1082.0000000000052,-2690.999999999999,-192.00000000000728,-159.00000000000603,490.00000000000153,,-853.9999999999984
2017.04.26,97.00000000001374,-1163.000000000003,-311.99999999999005,656.0000000000059,-438.00000000000506,-162.0000000000066,636.9999999999986,-283.99999999999534,-1223.0000000000132,1562.9999999999811,1605.000000000012,1094.0000000000173,-2798.0000000000114,-8.000000000009777,-222.0000000000084,495.9999999999964,,-462.0000000000177
2017.04.26,103.99999999999298,-1129.0000000000023,-357.99999999999164,602.9999999999944,-434.000000000001,-208.00000000000819,684.0000000000068,-270.0000000000036,-1097.0000000000084,1541.9999999999989,1505.0000000000007,994.000000000006,-2778.0000000000136,-34.000000000006025,-141.00000000000534,578.0000000000007,,-439.0000000000398
2017.04.26,131.00000000001444,-1177.9999999999902,-605.0,597.999999999999,-478.9999999999961,-479.0000000000072,662.000000000007,-221.99999999999997,-1106.9999999999993,1519.999999999988,1496.0000000000084,801.0000000000073,-2926.0000000000064,-88.00000000000807,-207.00000000000784,541.0000000000026,,-1541.9999999999886
2017.04.26,141.99999999999767,-1153.9999999999884,-553.999999999999,662.0000000000061,-471.99999999999466,-448.000000000004,789.0000000000064,-243.99999999999977,-1120.0000000000045,1632.9999999999955,1590.0000000000025,1571.0000000000114,-3012.0000000000146,-43.00000000000637,150.99999999999625,662.000000000007,,153.00000000001148
2017.04.26,158.0000000000137,-1180.0000000000032,-633.9999999999901,631.0000000000002,-493.99999999999443,-517.0000000000008,845.0000000000068,-239.0000000000003,-1088.9999999999986,1654.0,1605.9999999999964,1574.0000000000086,-3273.999999999999,-73.99999999999807,167.99999999999216,734.9999999999968,,-129.99999999996965
2017.04.26,137.9999999999937,-1164.0000000000095,-576.9999999999942,653.0000000000058,-478.9999999999961,-467.0000000000063,824.999999999998,-253.0000000000032,-1082.9999999999984,1595.9999999999975,1601.000000000008,1615.000000000011,-3156.000000000003,-57.00000000000216,176.9999999999925,704.0000000000047,,72.99999999999818
