date,USDCAD,EURCHF,CHFJPY,NZDCHF,EURGBP,GBPJPY,GBPAUD,EURJPY,CADJPY,AUDJPY,NZDJPY,empty,sum
2016.02.18,-1721.000000000017,-744.9999999999957,698.0000000000075,-1353.9999999999995,431.0000000000036,1102.0000000000039,-4806.000000000021,311.9999999999976,-1798.9999999999923,-1430.0000000000068,-773.0000000000103,,-10085.000000000031
2016.02.18,-1751.999999999998,-732.9999999999836,647.9999999999961,-1396.9999999999927,437.0000000000096,1021.9999999999914,-4902.000000000028,211.9999999999891,-1855.9999999999945,-1505.0000000000095,-877.0000000000095,,-10703.00000000003
2016.02.18,-1751.999999999998,-712.0000000000015,650.9999999999962,-1391.9999999999932,408.00000000000836,992.999999999995,-4936.000000000029,240.99999999999966,-1835.9999999999986,-1505.0000000000095,-834.0000000000032,,-10674.000000000033
2016.02.18,-1808.0000000000095,-795.9999999999967,739.9999999999949,-1375.9999999999995,463.0000000000023,1206.9999999999936,-4865.000000000008,353.9999999999992,-1706.0000000000032,-1359.0000000000089,-759.0000000000003,,-9905.000000000036
2016.02.18,-1819.000000000015,-773.0000000000015,816.0000000000025,-1444.9999999999964,467.0000000000063,1257.000000000005,-4337.000000000013,399.0000000000009,-1720.9999999999895,-1147.0000000000055,-810.0000000000023,,-9113.000000000007
2016.02.18,-1809.0000000000161,-752.9999999999815,846.0000000000036,-1486.9999999999939,461.0000000000003,1290.9999999999968,-4366.0000000000255,429.9999999999926,-1679.9999999999927,-1138.0000000000052,-815.0000000000119,,-9020.000000000035
2016.02.18,-1811.000000000007,-766.0,891.9999999999959,-1546.9999999999984,470.9999999999992,1381.0000000000002,-4276.000000000013,472.999999999999,-1598.9999999999895,-1082.0000000000077,-892.0000000000101,,-8756.000000000033
2016.02.18,-1902.0000000000036,-753.9999999999881,820.0000000000074,-1588.0000000000005,450.00000000000597,1197.0000000000027,-4419.000000000017,393.99999999999125,-1734.9999999999995,-1228.999999999999,-993.0000000000092,,-9759.00000000001
2016.02.18,-1934.9999999999977,-753.9999999999881,799.9999999999972,-1613.9999999999932,448.000000000004,1192.0000000000073,-4315.000000000025,385.9999999999957,-1754.9999999999955,-1204.0000000000077,-1030.0000000000011,,-9781.000000000004
2016.02.18,-1924.0000000000146,-764.9999999999934,760.0000000000051,-1567.9999999999916,429.0000000000016,1115.000000000009,-4238.000000000008,348.99999999998954,-1789.0000000000014,-1207.0000000000077,-998.0000000000047,,-9836.000000000016
2016.02.18,-1938.0000000000175,-740.9999999999917,822.0000000000027,-1584.999999999992,380.00000000000256,1075.9999999999934,-4317.0000000000155,391.9999999999959,-1759.999999999991,-1210.9999999999986,-977.0000000000039,,-9859.000000000015
