date,GBPUSD,USDCAD,AUDUSD,NZDUSD,NZDJPY,empty,sum
2019.01.24,1442.9999999999943,-1040.0000000000186,-645.0000000000067,217.99999999999596,255.00000000000966,,230.9999999999746
2019.01.24,1401.0000000000077,-1097.0000000000146,-653.999999999999,227.99999999999488,267.0000000000101,,144.9999999999992
2019.01.24,1463.9999999999986,-1151.0000000000132,-797.9999999999987,152.99999999999204,88.99999999999864,,-243.00000000002262
2019.01.24,1612.0000000000134,-1006.000000000018,-639.0000000000007,276.9999999999939,201.99999999999818,,445.99999999998687
2019.01.24,1662.000000000008,-967.0000000000067,-644.0000000000001,287.9999999999994,162.00000000000614,,501.00000000000665
2019.01.24,1692.0000000000045,-808.0000000000088,-641.0000000000027,307.99999999999716,183.9999999999975,,734.9999999999877
2019.01.24,1634.000000000002,-916.0000000000057,-648.0000000000041,232.99999999999432,144.00000000000546,,446.99999999999204
2019.01.24,1609.000000000016,-876.0000000000101,-645.0000000000067,218.99999999999142,134.00000000000034,,440.99999999999085
2019.01.24,1532.0,-876.0000000000101,-697.0000000000032,157.99999999999147,145.00000000001023,,261.9999999999884
2019.01.24,1459.0000000000102,-963.0000000000027,-782.0000000000049,109.99999999999899,111.0000000000042,,-64.9999999999942
2019.01.24,1422.9999999999966,-979.0000000000188,-782.0000000000049,119.99999999999788,100.99999999999909,,-117.00000000003007
2019.01.24,1412.9999999999975,-995.0000000000125,-808.0000000000088,126.99999999999933,70.00000000000739,,-193.00000000001705
2019.01.24,1566.0000000000007,-965.0000000000158,-829.0000000000019,98.99999999999353,55.999999999997385,,-73.00000000002615
2019.01.24,1564.0000000000098,-1032.0000000000107,-835.000000000008,67.9999999999903,31.999999999996476,,-203.0000000000221
2019.01.24,1703.9999999999943,-1002.000000000014,-818.0000000000076,68.99999999999685,45.000000000001705,,-2.0000000000287343
2019.01.24,1784.0000000000077,-955.0000000000169,-784.0000000000069,108.99999999999244,61.00000000000705,,214.99999999998334
2019.01.24,1844.0000000000011,-950.0000000000064,-743.0000000000048,128.99999999999022,51.00000000000193,,330.99999999998215
2019.01.24,1841.0000000000036,-1018.0000000000077,-767.0000000000066,122.99999999999534,42.00000000000159,,220.99999999998624
2019.01.24,1856.0000000000132,-990.000000000002,-747.0000000000088,102.99999999999754,34.000000000006025,,256.00000000000597
2019.01.25,1849.0000000000118,-989.0000000000176,-744.0000000000002,117.00000000000044,9.000000000000341,,241.99999999999477
2019.01.25,1888.0000000000007,-1019.9999999999986,-778.0000000000009,98.99999999999353,4.0000000000048885,,192.99999999999955
2019.01.25,1895.0000000000023,-989.0000000000176,-870.9999999999995,37.99999999999359,-87.0000000000033,,-14.000000000024599
2019.01.25,1994.0000000000068,-984.000000000007,-859.0000000000098,52.99999999999194,-64.99999999999773,,138.9999999999842
2019.01.25,2217.0000000000023,-941.0000000000141,-805.0000000000001,59.99999999999339,1.0000000000047748,,531.9999999999862
2019.01.25,2309.0000000000055,-911.0000000000174,-797.0000000000033,63.99999999999739,17.000000000010118,,681.9999999999924
2019.01.25,2248.0000000000055,-964.0000000000093,-884.000000000007,-1.0000000000065512,-13.999999999995794,,384.99999999998676
2019.01.25,2258.0000000000045,-965.0000000000158,-884.000000000007,-24.000000000001798,-27.000000000001023,,357.99999999997874
2019.01.25,2278.0000000000023,-880.9999999999984,-797.0000000000033,26.999999999999247,55.00000000000682,,682.0000000000066
2019.01.25,2361.9999999999973,-805.0000000000113,-746.0000000000023,47.9999999999925,93.00000000000352,,951.9999999999797
2019.01.25,2437.0000000000005,-663.0000000000135,-638.0000000000052,169.99999999999238,174.99999999999716,,1480.9999999999714
2019.01.25,2445.000000000008,-611.000000000006,-586.0000000000088,206.99999999999054,245.00000000000455,,1699.9999999999886
2019.01.25,2444.000000000002,-577.0000000000052,-619.0000000000028,161.99999999999548,231.99999999999932,,1641.9999999999884
2019.01.25,2422.9999999999973,-617.0000000000009,-711.000000000006,146.99999999999713,206.00000000000307,,1447.9999999999905
2019.01.25,2431.0000000000055,-622.0000000000115,-719.000000000003,144.99999999999514,186.00000000000705,,1420.9999999999934
2019.01.25,2551.9999999999986,-626.0000000000155,-681.0000000000093,173.9999999999964,216.99999999999875,,1635.999999999969
2019.01.25,2425.999999999995,-653.0000000000147,-707.000000000002,145.9999999999906,210.99999999999852,,1422.9999999999677
2019.01.25,2344.0000000000127,-595.0000000000122,-652.0000000000082,214.99999999999852,316.0000000000025,,1627.9999999999934
2019.01.25,2248.0000000000055,-598.0000000000097,-680.0000000000028,223.99999999999088,310.0000000000023,,1503.9999999999861
2019.01.25,2303.0000000000105,-560.0000000000049,-668.0000000000019,227.99999999999488,304.00000000000205,,1607.0000000000007
2019.01.25,2029.000000000014,-587.0000000000042,-684.0000000000068,215.99999999999397,253.0000000000001,,1226.9999999999973
2019.01.25,2041.0000000000039,-582.0000000000158,-647.0000000000086,225.99999999999287,331.00000000000307,,1368.9999999999754
2019.01.25,1978.9999999999975,-679.0000000000074,-674.000000000008,192.99999999999872,281.0000000000059,,1099.9999999999868
2019.01.25,1991.0000000000093,-694.0000000000168,-683.0000000000002,161.99999999999548,267.0000000000101,,1042.9999999999977
2019.01.25,1896.0000000000089,-707.0000000000132,-664.000000000009,204.99999999999963,273.00000000001035,,1002.9999999999967
2019.01.25,1909.0000000000052,-696.0000000000077,-626.0000000000043,217.0000000000005,296.99999999999704,,1100.9999999999907
2019.01.25,2017.000000000002,-631.0000000000038,-597.0000000000031,190.99999999999673,269.00000000000546,,1248.9999999999973
2019.01.25,2137.000000000011,-615.00000000001,-567.0000000000064,229.99999999999687,296.0000000000065,,1480.9999999999977
2019.01.25,2166.0000000000014,-619.000000000014,-516.0000000000053,307.99999999999716,385.0000000000051,,1723.999999999984
2019.01.25,2150.0000000000073,-719.000000000003,-521.0000000000048,293.99999999999426,415.9999999999968,,1619.9999999999907
2019.01.25,2113.000000000009,-649.0000000000107,-514.9999999999987,302.9999999999977,447.00000000000273,,1699.0
2019.01.25,2092.000000000005,-494.00000000001666,-399.0000000000049,410.9999999999947,585.000000000008,,2194.9999999999864
2019.01.25,2110.9999999999964,-304.9999999999997,-279.00000000000705,555.9999999999899,718.0000000000035,,2800.999999999983
2019.01.25,2405.999999999997,-87.00000000001484,-235.00000000000742,622.0000000000003,683.9999999999975,,3389.9999999999727
2019.01.25,2442.999999999995,9.999999999998899,-113.00000000000753,733.9999999999902,757.000000000005,,3830.9999999999814
2019.01.25,2716.0000000000073,-12.000000000012001,0.999999999995449,805.9999999999956,811.9999999999976,,4322.999999999984
2019.01.25,2913.9999999999945,-87.99999999999919,9.999999999998899,814.9999999999991,829.0000000000077,,4480.000000000002
