date,USDCAD,GBPJPY,EURJPY,AUDCAD,NZDCAD,empty,sum
2019.06.12,-601.000000000007,-456.0000000000173,-187.00000000001182,-471.99999999999466,-695.9999999999966,,-2412.0000000000273
2019.06.12,-731.9999999999993,-407.0000000000107,-287.00000000000614,-500.9999999999959,-687.9999999999998,,-2615.000000000012
2019.06.12,-802.9999999999982,-399.0000000000009,-294.00000000001114,-475.99999999999864,-652.9999999999925,,-2625.0000000000014
2019.06.12,-802.9999999999982,-403.00000000002,-315.00000000001194,-448.000000000004,-603.9999999999934,,-2573.0000000000273
2019.06.12,-862.0000000000072,-395.00000000001023,-341.0000000000082,-422.00000000000017,-566.9999999999953,,-2587.000000000021
2019.06.12,-922.0000000000006,-415.00000000002046,-389.00000000001,-427.99999999999505,-570.9999999999993,,-2725.0000000000255
2019.06.12,-951.9999999999973,-368.9999999999998,-362.000000000009,-410.9999999999947,-546.9999999999975,,-2640.999999999998
2019.06.12,-1014.0000000000038,-373.0000000000189,-332.00000000000784,-363.99999999999767,-506.9999999999908,,-2590.000000000019
2019.06.12,-1019.9999999999986,-376.0000000000048,-338.0000000000081,-378.999999999996,-512.9999999999968,,-2626.000000000004
2019.06.12,-1039.000000000012,-389.00000000001,-339.00000000001285,-343.00000000000443,-484.999999999991,,-2595.0000000000305
2019.06.13,-1021.0000000000052,-415.00000000002046,-522.0000000000056,-356.00000000000074,-493.99999999999443,,-2808.000000000027
2019.06.13,-985.0000000000136,-407.0000000000107,-343.0000000000035,-331.999999999999,-487.99999999999955,,-2555.0000000000264
2019.06.13,-972.0000000000173,-393.0000000000007,-330.0000000000125,-331.0000000000035,-488.999999999995,,-2515.000000000029
2019.06.13,-970.0000000000042,-379.0000000000191,-327.0000000000124,-326.9999999999995,-459.99999999999375,,-2463.0000000000286
2019.06.13,-981.0000000000097,-368.0000000000234,-324.0000000000123,-317.0000000000006,-448.9999999999994,,-2439.0000000000455
2019.06.13,-988.9999999999955,-368.0000000000234,-325.00000000000284,-348.9999999999993,-467.9999999999906,,-2499.000000000012
2019.06.13,-968.9999999999976,-355.0000000000182,-319.0000000000026,-363.99999999999767,-472.9999999999901,,-2480.0000000000064
2019.06.13,-907.0000000000133,-344.0000000000225,-323.0000000000075,-378.00000000000057,-457.99999999999176,,-2410.000000000036
2019.06.13,-937.00000000001,-354.0000000000134,-337.0000000000033,-407.99999999999727,-474.9999999999921,,-2511.0000000000164
2019.06.13,-958.9999999999987,-520.0000000000102,-489.0000000000043,-548.9999999999995,-497.99999999999847,,-3015.0000000000114
2019.06.13,-930.0000000000086,-693.000000000012,-633.0000000000098,-597.9999999999985,-490.999999999997,,-3345.000000000026
2019.06.13,-948.9999999999999,-695.999999999998,-587.0000000000033,-583.0000000000002,-514.9999999999987,,-3329.9999999999995
2019.06.13,-968.9999999999976,-680.0000000000068,-582.0000000000078,-604.0000000000045,-527.9999999999951,,-3363.000000000012
2019.06.13,-992.9999999999994,-649.0000000000009,-527.000000000001,-641.9999999999982,-556.9999999999964,,-3367.999999999996
2019.06.13,-978.9999999999966,-628.0000000000143,-509.00000000000034,-648.9999999999995,-552.9999999999924,,-3318.000000000003
2019.06.13,-975.0000000000148,-615.0000000000091,-450.00000000000284,-668.9999999999974,-567.9999999999907,,-3277.0000000000146
2019.06.13,-924.9999999999981,-564.9999999999977,-442.0000000000073,-727.9999999999953,-577.9999999999897,,-3237.999999999988
2019.06.13,-893.0000000000105,-562.0000000000118,-417.0000000000016,-658.0000000000031,-544.0,,-3074.000000000027
2019.06.13,-879.0000000000075,-612.0000000000232,-439.00000000000716,-709.0000000000041,-580.9999999999982,,-3220.00000000004
2019.06.13,-836.0000000000146,-695.0000000000216,-514.00000000001,-754.9999999999945,-644.9999999999956,,-3445.0000000000364
2019.06.13,-819.9999999999985,-921.0000000000207,-528.0000000000058,-722.0000000000005,-639.9999999999961,,-3631.000000000022
2019.06.13,-812.0000000000127,-790.9999999999968,-463.0000000000081,-705.9999999999956,-644.9999999999956,,-3417.0000000000086
2019.06.13,-836.0000000000146,-704.0000000000077,-450.00000000000284,-690.9999999999972,-631.9999999999992,,-3313.0000000000214
2019.06.13,-834.0000000000014,-740.0000000000091,-430.0000000000068,-731.0000000000039,-687.9999999999998,,-3423.000000000021
2019.06.13,-835.000000000008,-689.9999999999977,-426.00000000000193,-758.9999999999985,-700.999999999996,,-3411.0000000000023
2019.06.13,-768.0000000000131,-653.9999999999964,-403.0000000000058,-809.9999999999997,-754.9999999999945,,-3390.0000000000095
2019.06.13,-775.9999999999989,-688.0000000000166,-409.000000000006,-819.0000000000031,-766.0,,-3458.0000000000246
2019.06.13,-713.0000000000081,-596.0000000000036,-394.00000000000546,-943.000000000005,-889.9999999999908,,-3536.000000000013
2019.06.13,-676.0000000000099,-625.0,-393.0000000000007,-892.0000000000039,-872.9999999999905,,-3459.000000000005
2019.06.13,-707.9999999999975,-602.0000000000039,-398.00000000001035,-853.0000000000038,-842.9999999999937,,-3404.000000000009
2019.06.13,-697.0000000000143,-545.0000000000159,-436.00000000000705,-819.9999999999985,-847.9999999999932,,-3346.000000000029
2019.06.13,-807.0000000000022,-432.00000000001637,-484.00000000000887,-738.0000000000053,-784.9999999999912,,-3246.000000000024
2019.06.13,-883.0000000000116,-382.000000000005,-476.0000000000133,-717.000000000001,-796.9999999999922,,-3255.000000000023
2019.06.13,-868.000000000002,-473.0000000000132,-540.0000000000063,-693.9999999999947,-774.9999999999924,,-3350.000000000008
2019.06.13,-927.9999999999955,-397.0000000000198,-579.0000000000077,-702.9999999999981,-741.9999999999982,,-3349.000000000019
2019.06.13,-927.0000000000111,-475.00000000002274,-544.0000000000111,-666.9999999999953,-711.9999999999905,,-3325.000000000031
2019.06.13,-931.0000000000151,-455.0000000000125,-557.0000000000022,-690.0000000000017,-737.9999999999942,,-3371.000000000026
