date,nextweek_NZDCHF,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD
2019.07.07,18,-6,3,9,-12,-2,3,6,-6,-6,36,-4,-2,2,6,-12,6,-2,-5,10,-2,-4,-6,6,12,4,9,-12
2019.06.30,2,24,-30,-24,12,-1,-9,-20,8,12,-24,24,18,6,2,-18,-25,-12,-18,-30,-12,-3,12,-12,-12,-9,-20,9
2019.06.23,6,2,-4,-1,12,-24,24,24,-4,3,18,9,16,24,8,6,-20,-25,18,-16,-25,-25,24,36,36,12,20,-6
2019.06.16,24,-20,15,20,-24,-25,6,24,-16,-16,18,-6,-12,-3,3,6,-4,8,6,1,16,1,18,-18,18,-12,1,-12
2019.06.09,-3,24,-16,-16,12,30,-24,-30,-1,-1,-30,-2,-18,-20,12,-24,6,30,-18,15,24,30,-24,-36,-36,-15,-16,12
2019.06.02,-20,-24,16,30,-12,-30,15,24,-12,1,36,6,-4,12,12,30,-20,-2,30,-6,12,-20,36,24,36,-12,6,-24
2019.05.26,12,-1,-20,-18,-12,15,1,-4,-12,-6,-24,-6,-1,-2,8,-24,-6,-16,-24,2,-12,-4,-24,-12,-24,9,4,6
2019.05.19,-2,-16,-2,3,-12,1,1,2,-12,-12,30,-9,-6,-6,9,-12,-6,-8,-6,6,4,3,-6,-12,-18,2,2,-2
2019.05.12,-6,1,-20,-9,6,12,-20,-12,-25,-20,24,-8,-20,-12,24,-30,-20,-3,-24,-3,25,16,-6,-30,-24,-20,-9,-15
2019.05.05,-12,-3,-16,18,-18,-6,12,-3,-20,6,-24,-1,4,-4,24,-24,-20,-12,-12,12,2,20,-18,-6,-18,5,-4,18
2019.04.28,-4,-6,30,18,-12,-6,-2,-2,30,12,-12,-1,-4,-6,-16,36,30,30,36,18,20,16,-6,-12,-12,-4,-4,2
2019.04.21,-6,15,-9,-16,-12,9,-24,-12,3,-2,-24,2,-15,1,-4,-24,-1,30,-24,-3,24,-3,-18,-36,-36,-24,1,-16
2019.04.14,1,24,-8,-9,-12,6,-4,-9,18,18,-30,12,12,2,3,-12,-2,-3,-18,-2,-2,16,-12,-12,-18,3,-6,12
2019.04.07,2,6,10,24,6,-12,12,8,12,24,6,18,16,15,15,12,-4,-8,18,9,-2,15,18,18,18,9,1,12
2019.03.31,15,12,-1,-2,24,4,-4,-16,15,18,18,6,4,-9,-3,24,6,10,18,2,3,30,18,12,-18,1,-16,20
2019.03.24,-9,2,-15,-9,18,-9,3,-9,-15,-9,18,9,8,-9,6,-12,-24,-20,10,-15,-16,6,18,18,-12,-2,-12,24
