date,USDCAD,EURCHF,GBPJPY,EURJPY,EURNZD,NZDCAD,AUDNZD,empty,sum
2019.08.13,-527.9999999999951,-167.00000000000603,-162.00000000000614,-299.99999999999716,431.0000000000036,44.99999999999504,-21.999999999988695,,-702.9999999999947
2019.08.13,-536.0000000000032,-224.000000000002,-262.00000000000045,-320.0000000000074,483.0000000000112,51.000000000001044,-17.000000000000348,,-825.0000000000014
2019.08.13,-615.00000000001,-234.00000000000088,-280.00000000000114,-356.9999999999993,493.99999999999443,36.0000000000027,-55.99999999998939,,-1012.0000000000036
2019.08.13,-661.0000000000005,-266.0000000000107,-307.9999999999927,-468.0000000000035,558.9999999999984,34.000000000000696,-5.999999999994898,,-1116.0000000000032
2019.08.13,-672.0000000000059,-251.00000000000122,-250.0,-460.00000000000796,402.9999999999978,73.00000000000084,25.00000000000835,,-1132.0000000000082
2019.08.13,-642.0000000000092,-181.9999999999933,-218.00000000000352,-400.0000000000057,344.00000000001097,115.99999999999389,16.000000000016,,-965.9999999999908
2019.08.13,-680.9999999999983,-272.00000000000557,-233.0000000000041,-427.99999999999727,371.99999999999454,126.99999999999933,-4.999999999988347,,-1119.9999999999998
2019.08.13,-679.0000000000074,-339.0000000000004,-225.9999999999991,-370.00000000000455,628.0000000000064,141.99999999999767,-39.999999999995595,,-884.0000000000028
2019.08.13,-653.999999999999,-354.9999999999942,-222.99999999999898,-379.0000000000049,642.9999999999936,153.99999999999858,-14.000000000002899,,-828.000000000008
2019.08.13,-598.0000000000097,-340.9999999999913,-129.0000000000049,-239.00000000000432,649.0000000000107,159.9999999999935,2.0000000000131024,,-495.99999999999295
2019.08.13,-626.0000000000155,-368.9999999999971,-78.00000000000296,-204.9999999999983,661.0000000000005,127.99999999999478,51.000000000001044,,-438.0000000000174
2019.08.13,-767.0000000000066,-374.999999999992,-109.99999999999943,-228.9999999999992,824.0000000000025,132.99999999999423,110.00000000001009,,-413.99999999999045
2019.08.13,-744.9999999999957,-385.99999999999744,-85.99999999999852,-168.99999999999693,974.9999999999925,-36.0000000000027,121.00000000001555,,-325.9999999999833
2019.08.13,-930.0000000000086,-455.0000000000054,-85.99999999999852,-192.00000000000728,1141.9999999999986,-82.00000000000429,114.0000000000141,,-489.0000000000116
2019.08.13,-944.0000000000115,-469.99999999999267,-45.99999999999227,-179.00000000000205,1341.9999999999986,-14.000000000002899,238.0000000000049,,-72.99999999999778
2019.08.13,-968.0000000000133,-443.99999999999994,-33.00000000000125,-128.0000000000001,25.999999999992696,-195.00000000000074,269.00000000000813,,-1473.0000000000143
2019.08.13,-463.0000000000134,-178.00000000001148,1213.9999999999986,730.9999999999945,-289.9999999999903,-100.00000000000009,402.0000000000135,,1315.9999999999914
2019.08.13,-382.0000000000157,79.00000000000685,1502.0000000000095,1060.0000000000023,-258.0000000000027,-68.00000000000139,316.0000000000052,,2249.0000000000036
2019.08.13,-428.00000000000614,-25.999999999992696,1169.9999999999875,875.0,114.99999999999844,-6.0000000000060005,280.0000000000136,,1979.9999999999948
2019.08.13,-422.9999999999956,17.000000000000348,1193.000000000012,879.0000000000049,75.00000000000284,-72.0000000000054,287.000000000015,,1956.000000000034
2019.08.13,-333.0000000000055,68.00000000000139,1370.0000000000045,947.0000000000027,28.000000000005798,-39.00000000000014,371.00000000001023,,2412.000000000019
2019.08.13,-327.00000000001063,116.00000000000499,1388.0000000000052,941.9999999999931,86.0000000000083,-43.00000000000415,399.00000000001603,,2561.0000000000127
2019.08.13,-323.0000000000066,42.999999999993044,1300.9999999999877,850.9999999999991,46.0000000000127,-24.999999999997247,398.00000000000944,,2290.999999999998
2019.08.13,-344.00000000001097,21.00000000000435,1302.9999999999973,888.0000000000052,116.00000000000499,-48.000000000003595,429.00000000001273,,2365.00000000001
2019.08.13,-307.00000000001285,31.000000000003247,1414.999999999992,951.9999999999982,120.00000000000898,-109.99999999999899,466.00000000001086,,2567.000000000002
2019.08.13,-285.00000000000193,129.00000000000134,1438.999999999993,1003.0000000000001,113.00000000000753,-109.99999999999899,476.0000000000098,,2765.000000000011
2019.08.13,-314.99999999999864,158.99999999999804,1412.0000000000061,968.9999999999941,131.99999999999878,-92.99999999999864,452.00000000000796,,2716.0000000000073
2019.08.13,-354.0000000000099,188.9999999999947,1461.999999999989,1006.0000000000002,80.00000000001339,-45.000000000006146,431.0000000000036,,2768.9999999999845
2019.08.13,-356.00000000000074,181.9999999999933,1429.000000000002,986.0000000000042,59.000000000009045,-12.000000000000899,412.9999999999967,,2701.0000000000036
2019.08.13,-343.00000000000443,191.99999999999218,1451.9999999999982,1028.000000000006,-92.00000000000318,-13.00000000000745,358.9999999999982,,2582.9999999999795
2019.08.14,-313.00000000000773,160.00000000000458,1489.0000000000043,1046.999999999997,-409.99999999999926,-113.00000000000753,378.999999999996,,2238.9999999999873
2019.08.14,-297.9999999999983,151.9999999999966,1530.0000000000011,1051.9999999999925,-109.99999999998789,-56.0000000000005,371.99999999999454,,2641.999999999998
2019.08.14,-296.0000000000074,141.99999999999767,1493.9999999999998,990.9999999999997,-106.99999999999044,9.999999999998899,371.00000000001023,,2605.000000000008
2019.08.14,-289.0000000000059,143.00000000000423,1431.999999999988,968.9999999999941,-79.99999999999119,10.999999999994348,355.0000000000164,,2541.0
2019.08.14,-266.0000000000107,164.99999999999292,1447.0000000000027,983.9999999999947,-107.99999999999699,25.999999999992696,355.0000000000164,,2602.999999999992
2019.08.14,-246.00000000001288,194.99999999998963,1439.9999999999977,980.9999999999945,-133.00000000000534,24.000000000001798,310.0000000000103,,2570.999999999976
2019.08.14,-232.00000000000998,120.99999999999334,1169.0000000000111,754.0000000000049,-110.99999999999443,-9.00000000000345,337.0000000000095,,2029.0000000000111
2019.08.14,-239.00000000001143,129.00000000000134,1033.9999999999918,641.0000000000053,-11.999999999989797,-72.0000000000054,348.9999999999993,,1829.9999999999911
2019.08.14,-219.00000000001364,140.99999999999113,1060.0000000000023,688.0000000000024,-234.00000000000088,-6.0000000000060005,304.00000000001535,,1733.999999999991
2019.08.14,-290.00000000001245,112.000000000001,981.9999999999993,644.999999999996,-246.99999999999721,-34.000000000000696,351.0000000000124,,1518.9999999999982
2019.08.14,-331.0000000000146,39.999999999995595,882.9999999999956,563.999999999993,-17.000000000000348,-106.00000000000608,259.0000000000092,,1291.9999999999723
2019.08.14,-290.00000000001245,36.999999999998145,968.9999999999941,611.9999999999948,-55.99999999998939,34.000000000000696,248.00000000000378,,1553.9999999999898
2019.08.14,-278.00000000000045,73.99999999999629,1028.9999999999964,618.9999999999998,-217.0000000000005,44.99999999999504,214.00000000000307,,1485.9999999999895
2019.08.14,-269.00000000000813,113.99999999999189,1058.9999999999975,623.0000000000047,-302.9999999999866,86.99999999999264,209.00000000001472,,1520.0000000000068
2019.08.14,-282.0000000000045,140.0000000000068,1112.9999999999995,650.0000000000057,-346.0000000000019,127.99999999999478,216.00000000001617,,1619.0000000000166
2019.08.14,-287.000000000015,137.00000000000932,1181.999999999988,715.0000000000034,-272.00000000000557,49.99999999999449,235.00000000000742,,1759.999999999982
2019.08.14,-304.00000000001535,154.99999999999403,1235.0000000000136,763.9999999999958,-153.00000000000313,-21.999999999999797,287.9999999999994,,1962.9999999999845
2019.08.14,-304.9999999999997,123.99999999999079,1187.9999999999882,688.999999999993,-96.99999999999153,-23.00000000000635,266.0000000000107,,1841.999999999985
