date,EURUSD,GBPCHF,EURCHF,GBPCAD,AUDCAD,empty,sum
2019.07.18,214.00000000000307,768.9999999999975,44.99999999998394,944.9999999999958,-500.00000000000045,,1472.99999999998
2019.07.18,246.00000000001288,761.999999999996,21.999999999988695,988.9999999999955,-507.9999999999973,,1510.9999999999957
2019.07.18,230.00000000001907,509.00000000000387,38.99999999998904,557.9999999999918,-504.00000000000443,,831.9999999999994
2019.07.18,248.00000000000378,495.000000000001,28.999999999990145,567.9999999999907,-484.00000000000665,,855.9999999999789
2019.07.18,236.00000000001398,398.00000000000944,42.999999999993044,432.9999999999945,-484.00000000000665,,626.0000000000043
2019.07.18,252.0000000000078,387.000000000004,76.99999999999375,371.99999999999454,-480.0000000000027,,607.9999999999973
2019.07.18,256.00000000001177,373.00000000000114,59.99999999999339,405.9999999999952,-504.00000000000443,,590.9999999999972
2019.07.18,300.00000000001137,438.00000000000506,57.99999999998029,597.0000000000031,-483.0000000000001,,909.9999999999997
2019.07.18,322.00000000000006,354.0000000000099,94.99999999997843,445.0000000000065,-429.99999999999704,,785.999999999998
2019.07.18,328.00000000001717,48.000000000003595,-9.000000000014552,381.99999999999346,-446.9999999999974,,302.0000000000023
2019.07.18,418.0000000000073,-62.99999999999084,-68.00000000000139,299.00000000000483,-465.0000000000043,,121.00000000001546
2019.07.18,374.0000000000077,31.000000000003247,7.999999999985796,228.99999999999034,-548.9999999999995,,92.9999999999875
2019.07.18,402.0000000000135,156.00000000000057,106.99999999999044,249.99999999999466,-570.9999999999993,,343.9999999999999
2019.07.18,434.000000000001,137.00000000000932,115.99999999998278,248.99999999998812,-563.9999999999978,,371.9999999999835
2019.07.18,461.0000000000003,266.0000000000107,98.99999999998244,278.00000000000045,-572.0000000000058,,531.9999999999881
2019.07.18,477.0000000000163,168.0000000000126,33.99999999997849,170.00000000000347,-643.0000000000047,,206.00000000000625
2019.07.18,418.0000000000073,188.9999999999947,62.99999999999084,96.99999999999153,-700.0000000000006,,66.99999999998374
2019.07.18,432.0000000000102,113.00000000000753,48.99999999998794,-31.000000000003247,-812.0000000000016,,-248.9999999999992
2019.07.18,392.00000000001455,114.99999999999844,36.999999999998145,-72.0000000000054,-807.0000000000022,,-334.9999999999964
2019.07.18,358.00000000001387,148.99999999999915,71.99999999998319,-147.00000000000824,-831.000000000004,,-399.000000000016
