date,EURCHF,AUDJPY,empty,sum
2016.05.27,127.99999999999478,-262.00000000000045,,-134.00000000000568
2016.05.27,148.00000000001478,-284.9999999999966,,-136.9999999999818
2016.05.27,139.00000000000023,-278.99999999999636,,-139.99999999999613
2016.05.27,150.00000000000568,-275.99999999999625,,-125.99999999999056
2016.05.27,144.99999999999514,-304.9999999999926,,-159.99999999999747
2016.05.27,185.00000000001293,-221.9999999999942,,-36.99999999998127
2016.05.27,184.00000000000637,-152.9999999999916,,31.00000000001478
2016.05.27,167.00000000000603,-146.99999999999136,,20.000000000014666
2016.05.27,141.99999999999767,-104.99999999998977,,37.0000000000079
2016.05.27,168.0000000000126,-164.99999999999204,,3.000000000020549
2016.05.27,158.0000000000137,-170.99999999999227,,-12.99999999997857
2016.05.27,163.00000000000205,-159.9999999999966,,3.000000000005457
2016.05.27,156.00000000000057,-128.99999999999068,,27.00000000000989
2016.05.27,154.99999999999403,-167.99999999999216,,-12.999999999998124
2016.05.27,154.0000000000097,-191.99999999999307,,-37.99999999998337
2016.05.27,137.00000000000932,-197.9999999999933,,-60.99999999998397
2016.05.27,95.00000000000064,-229.99999999998977,,-134.99999999998914
2016.05.27,107.00000000001265,-262.00000000000045,,-154.9999999999878
2016.05.27,153.00000000000313,-370.9999999999951,,-217.99999999999199
2016.05.27,147.00000000000824,-300.9999999999877,,-153.99999999997948
2016.05.27,158.0000000000137,-302.99999999999727,,-144.99999999998357
2016.05.27,148.00000000001478,-321.9999999999885,,-173.99999999997374
2016.05.27,165.9999999999995,-346.9999999999942,,-180.9999999999947
2016.05.27,127.00000000001043,-286.9999999999919,,-159.9999999999815
2016.05.27,167.00000000000603,-364.9999999999949,,-197.99999999998886
2016.05.27,154.99999999999403,-463.99999999999864,,-309.0000000000046
2016.05.27,151.9999999999966,-451.9999999999982,,-300.0000000000016
2016.05.27,178.99999999999582,-429.9999999999926,,-250.9999999999968
2016.05.27,188.9999999999947,-422.9999999999876,,-233.9999999999929
2016.05.27,192.99999999999872,-524.0000000000009,,-331.00000000000216
2016.05.27,265.0000000000041,-585.9999999999985,,-320.99999999999443
2016.05.27,319.0000000000026,-536.9999999999919,,-217.9999999999893
2016.05.27,316.0000000000052,-540.9999999999968,,-224.99999999999164
2016.05.27,350.00000000000585,-543.9999999999969,,-193.99999999999108
