date,EURUSD,NZDUSD,EURGBP,empty,sum
2015.05.15,1986.9999999999832,337.0000000000095,-230.99999999999233,,2093.0000000000005
2015.05.15,2014.999999999989,372.0000000000057,-202.0000000000022,,2184.9999999999923
2015.05.15,2086.9999999999945,374.0000000000077,-169.99999999999238,,2291.00000000001
2015.05.15,2025.9999999999945,64.0000000000085,-171.99999999999437,,1918.0000000000089
2015.05.15,2026.9999999999789,141.00000000000225,-178.00000000000037,,1989.9999999999804
2015.05.15,2055.9999999999914,190.00000000000128,-159.9999999999935,,2085.999999999999
2015.05.15,2090.9999999999986,201.00000000000674,-158.99999999999804,,2133.0000000000073
2015.05.15,2047.9999999999832,152.00000000000767,-182.99999999999983,,2016.9999999999911
2015.05.15,2055.9999999999914,240.00000000000688,-193.99999999999417,,2102.000000000004
2015.05.15,2065.99999999999,225.00000000000853,-169.99999999999238,,2121.0000000000064
2015.05.15,2064.9999999999836,224.000000000002,-165.9999999999995,,2122.999999999986
2015.05.15,2104.999999999979,201.00000000000674,-146.99999999999713,,2158.9999999999886
2015.05.15,2023.9999999999814,123.00000000000644,-202.9999999999976,,1943.99999999999
2015.05.15,1824.9999999999877,1.0000000000065512,-297.9999999999983,,1527.999999999996
2015.05.15,1747.999999999994,90.0000000000012,-396.9999999999918,,1441.0000000000034
2015.05.15,2137.9999999999955,185.00000000000182,-154.99999999999403,,2168.000000000003
2015.05.15,1860.9999999999793,97.00000000000264,-218.99999999999142,,1738.9999999999907
2015.05.15,1843.999999999979,28.000000000005798,-251.00000000000122,,1620.9999999999839
2015.05.15,1783.9999999999857,-1.999999999990898,-309.99999999999915,,1471.9999999999957
2015.05.15,1587.9999999999893,-78.99999999999574,-365.99999999999966,,1142.999999999994
2015.05.15,1515.999999999984,-100.00000000000009,-347.9999999999928,,1067.9999999999914
2015.05.15,1544.9999999999964,-98.99999999999353,-339.0000000000004,,1107.0000000000023
2015.05.15,1676.9999999999952,-64.99999999999284,-251.00000000000122,,1361.0000000000011
