date,GBPCHF,EURGBP,GBPJPY,GBPCAD,empty,sum
2017.08.24,472.9999999999901,675.9999999999989,483.99999999998045,847.9999999999822,,2480.999999999952
2017.08.24,492.0000000000035,731.9999999999993,508.99999999998613,1039.9999999999966,,2772.9999999999854
2017.08.24,548.9999999999995,753.0000000000036,574.9999999999886,922.0000000000006,,2798.9999999999923
2017.08.24,499.000000000005,768.000000000002,561.9999999999834,1054.9999999999836,,2883.999999999974
2017.08.24,607.0000000000019,853.0000000000038,635.9999999999957,1075.9999999999882,,3171.9999999999895
2017.08.24,550.9999999999903,841.9999999999983,451.9999999999982,1081.999999999983,,2926.99999999997
2017.08.24,497.99999999999847,829.9999999999974,469.99999999999886,1024.999999999987,,2822.999999999982
2017.08.24,537.9999999999941,811.0000000000061,493.9999999999998,1069.9999999999932,,2912.999999999993
2017.08.24,385.99999999999744,792.0000000000039,317.99999999998363,1019.9999999999986,,2515.9999999999836
2017.08.24,388.9999999999949,778.0000000000009,316.99999999997885,1053.9999999999993,,2537.999999999974
2017.08.24,394.00000000000546,761.999999999996,253.99999999999068,1053.9999999999993,,2463.9999999999914
2017.08.24,409.99999999999926,770.9999999999994,250.0,1056.9999999999968,,2487.9999999999955
2017.08.24,452.00000000000796,783.9999999999958,275.99999999998204,1156.0000000000014,,2667.9999999999873
2017.08.25,431.0000000000036,748.0000000000042,297.9999999999734,1190.0000000000023,,2666.9999999999836
2017.08.25,428.9999999999905,695.0000000000011,282.99999999998704,1175.9999999999993,,2582.999999999978
2017.08.25,472.00000000000574,744.0000000000002,288.99999999998727,1183.0000000000007,,2687.9999999999936
2017.08.25,468.9999999999861,773.0000000000015,247.99999999999045,1190.0000000000023,,2679.99999999998
2017.08.25,456.9999999999963,761.999999999996,207.9999999999984,1030.999999999982,,2457.9999999999727
2017.08.25,446.9999999999974,734.0000000000014,263.9999999999816,1245.9999999999916,,2690.999999999972
2017.08.25,435.0000000000076,734.9999999999968,289.99999999999204,1268.0000000000025,,2727.999999999999
2017.08.25,327.99999999999494,700.0000000000006,-59.00000000002592,1194.9999999999905,,2163.99999999996
2017.08.25,384.9999999999909,690.0000000000017,13.999999999981583,1166.0000000000005,,2254.9999999999745
2017.08.25,421.99999999998903,639.0000000000007,62.99999999998818,1156.999999999986,,2280.9999999999636
2017.08.25,435.0000000000076,644.0000000000001,94.99999999999886,1137.9999999999945,,2312.000000000001
2017.08.25,458.9999999999872,675.9999999999989,61.9999999999834,1210.9999999999843,,2407.9999999999536
2017.08.25,438.9999999999894,680.0000000000028,71.9999999999743,1213.9999999999818,,2404.999999999948
2017.08.25,431.99999999998795,683.9999999999957,70.99999999999795,1207.9999999999868,,2394.999999999968
2017.08.25,435.0000000000076,678.0000000000008,114.99999999998067,1208.9999999999934,,2436.9999999999827
2017.08.25,428.00000000000614,675.9999999999989,143.00000000000068,1191.9999999999932,,2438.999999999999
2017.08.25,421.0000000000047,670.9999999999993,81.99999999999363,1183.999999999985,,2357.9999999999827
2017.08.25,408.9999999999927,661.9999999999959,111.99999999999477,1185.9999999999982,,2368.999999999982
2017.08.25,404.9999999999887,658.9999999999985,108.99999999998045,1193.9999999999839,,2366.999999999952
2017.08.25,404.9999999999887,675.0000000000034,105.99999999999454,1237.9999999999836,,2423.99999999997
2017.08.25,350.9999999999902,563.9999999999978,89.99999999997499,1224.9999999999873,,2229.9999999999504
2017.08.25,417.0000000000007,548.0000000000041,33.999999999991815,1213.9999999999818,,2212.999999999978
2017.08.25,401.00000000000693,550.000000000006,-31.00000000000591,1147.9999999999934,,2068.0000000000005
2017.08.25,495.000000000001,653.0000000000035,18.999999999977035,1149.0,,2315.999999999982
2017.08.25,517.9999999999962,614.9999999999989,-29.000000000024784,1027.0000000000002,,2130.9999999999704
2017.08.25,480.99999999999807,589.0000000000061,-53.00000000002569,985.999999999998,,2002.9999999999764
