date,GBPCHF,EURCHF,EURJPY,EURCAD,AUDCAD,NZDCAD,empty,sum
2018.10.16,-1119.0000000000034,316.0000000000052,-610.0000000000136,399.00000000001603,156.99999999999602,-606.9999999999909,,-1463.9999999999907
2018.10.17,-1092.9999999999884,258.0000000000027,-575.000000000017,421.0000000000047,117.00000000000044,-627.9999999999952,,-1499.9999999999927
2018.10.17,-1078.9999999999854,258.99999999998704,-568.000000000012,439.0000000000116,126.0000000000039,-620.9999999999937,,-1443.9999999999886
2018.10.17,-1075.0000000000036,261.0000000000001,-606.000000000023,495.000000000001,161.00000000000003,-589.9999999999906,,-1354.000000000016
2018.10.17,-1092.000000000004,313.99999999999204,-616.0000000000139,479.0000000000072,172.00000000000549,-571.9999999999948,,-1315.000000000008
2018.10.17,-1075.0000000000036,293.99999999999426,-635.9999999999957,465.0000000000043,185.00000000000182,-564.9999999999933,,-1331.9999999999923
2018.10.17,-1109.0000000000043,319.0000000000026,-683.9999999999975,456.9999999999963,211.00000000000563,-548.9999999999995,,-1354.9999999999966
2018.10.17,-1117.9999999999968,310.9999999999946,-712.0000000000175,409.99999999999926,175.99999999999838,-635.9999999999922,,-1569.000000000014
2018.10.17,-1126.999999999989,358.9999999999982,-764.00000000001,345.0000000000175,146.99999999999713,-720.9999999999939,,-1760.9999999999802
2018.10.17,-1156.999999999986,361.9999999999957,-752.0000000000095,351.0000000000124,133.00000000000534,-734.9999999999968,,-1797.9999999999786
2018.10.17,-1149.9999999999843,334.9999999999964,-725.9999999999991,355.0000000000164,136.99999999999824,-733.9999999999902,,-1782.9999999999627
2018.10.17,-1116.000000000006,287.9999999999994,-634.0000000000146,314.99999999999864,160.00000000000458,-758.9999999999985,,-1746.0000000000164
2018.10.17,-1109.0000000000043,279.00000000000705,-627.0000000000095,402.9999999999978,148.0000000000037,-706.999999999991,,-1612.9999999999964
2018.10.17,-1088.0,282.9999999999888,-568.000000000012,391.000000000008,131.99999999999878,-700.999999999996,,-1551.0000000000125
2018.10.17,-1112.0000000000018,287.9999999999994,-546.0000000000207,401.00000000000693,117.00000000000044,-700.999999999996,,-1553.0000000000118
2018.10.17,-1107.999999999998,302.0000000000023,-507.000000000005,381.0000000000091,112.000000000001,-705.9999999999956,,-1525.9999999999861
2018.10.17,-1105.0000000000005,279.00000000000705,-433.9999999999975,373.00000000000114,90.0000000000012,-710.999999999995,,-1507.9999999999836
2018.10.17,-1086.9999999999936,212.99999999999653,-379.0000000000191,450.00000000001705,87.99999999999919,-692.9999999999992,,-1407.999999999999
2018.10.17,-1051.9999999999864,195.9999999999962,-320.0000000000216,445.0000000000065,40.00000000000669,-763.9999999999981,,-1454.9999999999968
2018.10.17,-1175.9999999999993,211.00000000000563,-397.99999999999613,400.00000000000034,63.99999999999739,-773.9999999999969,,-1672.999999999989
2018.10.17,-1170.9999999999886,265.0000000000041,-526.0000000000105,286.00000000000847,48.000000000003595,-818.9999999999919,,-1916.999999999975
2018.10.17,-1153.000000000004,221.00000000000452,-526.0000000000105,290.9999999999968,12.000000000000899,-822.9999999999959,,-1978.0000000000082
2018.10.17,-1021.0000000000052,201.99999999999108,-439.9999999999977,392.00000000001455,80.99999999999774,-754.9999999999945,,-1540.999999999994
2018.10.17,-919.9999999999875,272.99999999998994,-486.0000000000184,336.00000000000296,-115.99999999999389,-846.9999999999977,,-1760.0000000000045
2018.10.17,-811.0000000000061,262.999999999991,-457.00000000002206,441.0000000000025,-51.000000000001044,-755.99999999999,,-1371.0000000000257
2018.10.17,-831.9999999999883,290.9999999999968,-393.0000000000007,469.0000000000083,-7.0000000000014495,-667.9999999999908,,-1139.9999999999761
2018.10.17,-914.9999999999991,354.9999999999942,-448.0000000000075,341.00000000001353,-27.999999999994696,-673.9999999999968,,-1368.9999999999905
2018.10.17,-941.9999999999984,333.0000000000055,-472.0000000000084,267.0000000000172,-12.999999999996348,-683.9999999999957,,-1510.9999999999761
2018.10.17,-926.0000000000045,336.00000000000296,-356.00000000002296,371.00000000001023,92.00000000000318,-600.999999999996,,-1084.0000000000073
2018.10.17,-929.9999999999864,224.000000000002,-290.9999999999968,468.00000000000176,123.00000000000644,-568.9999999999973,,-974.9999999999702
2018.10.17,-723.9999999999914,235.99999999999176,-209.00000000000318,548.9999999999995,139.00000000000023,-570.9999999999993,,-580.0000000000023
2018.10.17,-726.0000000000044,178.99999999999582,-115.0000000000091,516.0000000000053,121.99999999999989,-634.9999999999967,,-659.0000000000092
2018.10.17,-743.9999999999891,60.99999999999994,-122.0000000000141,496.00000000000756,133.00000000000534,-639.9999999999961,,-815.9999999999864
2018.10.17,-731.9999999999993,99.00000000000463,-201.99999999999818,320.00000000000915,1.0000000000065512,-753.9999999999991,,-1267.9999999999761
2018.10.17,-836.9999999999989,130.0000000000079,-181.0000000000116,375.9999999999986,31.999999999998696,-723.9999999999914,,-1203.9999999999966
2018.10.17,-844.9999999999847,113.99999999999189,-52.99999999999727,285.00000000000193,67.00000000000594,-812.999999999997,,-1244.999999999979
2018.10.17,-883.9999999999959,100.99999999999554,-70.0000000000216,241.00000000000233,-34.000000000000696,-853.9999999999992,,-1500.0000000000196
2018.10.17,-872.0000000000061,99.99999999998899,-16.000000000019554,270.00000000001467,-36.0000000000027,-858.9999999999986,,-1413.0000000000234
2018.10.17,-885.9999999999868,126.99999999998823,-112.99999999999955,287.000000000015,-26.999999999999247,-807.9999999999976,,-1419.99999999998
2018.10.17,-910.9999999999951,153.9999999999875,-94.99999999999886,294.0000000000165,-98.99999999999353,-841.9999999999983,,-1498.9999999999818
2018.10.17,-1000.9999999999852,136.00000000000279,-106.00000000002296,253.00000000001432,-102.00000000000209,-844.0000000000003,,-1663.9999999999936
2018.10.17,-1014.0000000000038,100.99999999999554,-64.99999999999773,341.00000000001353,-88.99999999999464,-776.9999999999943,,-1502.9999999999814
2018.10.17,-1161.9999999999964,174.99999999999181,-57.00000000001637,424.00000000000216,-75.9999999999983,-779.9999999999918,,-1476.0000000000089
2018.10.17,-1139.0000000000011,163.00000000000205,-126.00000000000477,272.00000000000557,-75.9999999999983,-808.9999999999931,,-1714.9999999999895
2018.10.17,-1024.999999999987,156.00000000000057,-81.00000000001728,290.00000000001245,-73.00000000000084,-806.999999999991,,-1539.9999999999832
2018.10.17,-1058.0000000000034,137.9999999999937,-106.00000000002296,406.00000000001745,-56.99999999999594,-750.9999999999906,,-1428.0000000000018
2018.10.17,-1075.0000000000036,133.00000000000534,-106.00000000002296,389.0000000000171,-54.999999999993946,-709.9999999999995,,-1423.9999999999977
2018.10.17,-1072.9999999999907,109.00000000000354,-146.000000000015,453.0000000000145,-43.999999999999595,-715.9999999999944,,-1416.9999999999818
2018.10.17,-1052.9999999999927,117.99999999999588,-185.00000000000227,415.0000000000098,-31.000000000003247,-688.9999999999952,,-1424.9999999999877
2018.10.18,-997.0000000000034,66.99999999999484,-242.999999999995,371.00000000001023,-31.999999999998696,-715.9999999999944,,-1549.9999999999866
