date,USDCAD,AUDUSD,NZDUSD,GBPJPY,EURJPY,CADJPY,NZDJPY,AUDCAD,empty,sum
2019.01.15,-301.0000000000179,-172.99999999998983,-105.99999999999498,-211.9999999999891,-538.0000000000109,-31.999999999996476,-64.00000000000716,-69.9999999999923,,-1495.9999999999986
2019.01.15,-249.00000000001032,-158.99999999999804,-107.99999999999699,180.00000000000682,-425.00000000001137,32.00000000001069,-25.000000000005684,-80.99999999999774,,-835.0000000000026
2019.01.15,-241.00000000000233,-106.99999999999044,-92.00000000000318,491.00000000001387,-337.0000000000033,93.00000000000352,31.999999999996476,-44.99999999999504,,-205.99999999998045
2019.01.15,-243.00000000001543,-128.99999999999022,-119.99999999999788,288.0000000000109,-326.0000000000076,112.00000000000898,4.0000000000048885,-66.99999999999484,,-480.9999999999812
2019.01.16,-195.00000000001182,-110.99999999999443,-122.99999999999534,259.00000000001455,-364.0000000000043,94.0000000000083,-6.000000000000227,-82.99999999999974,,-528.9999999999831
2019.01.16,-164.00000000000858,-114.99999999999844,-117.00000000000044,272.0000000000198,-429.00000000000205,103.9999999999992,-12.000000000000455,-98.99999999999353,,-559.9999999999845
2019.01.16,-172.0000000000166,-91.99999999999208,-107.99999999999699,299.0000000000066,-415.00000000000625,109.00000000000887,-7.999999999995566,-57.99999999999139,,-444.9999999999834
2019.01.16,-144.0000000000108,-108.99999999999244,-114.99999999999844,381.0000000000002,-359.00000000000887,126.00000000000477,-9.000000000000341,-84.99999999999064,,-313.99999999999653
2019.01.16,-161.00000000001114,-133.99999999998968,-65.99999999999939,16.000000000019554,-529.0000000000106,36.000000000001364,-25.99999999999625,-98.99999999999353,,-962.9999999999795
2019.01.16,-153.00000000000313,-143.9999999999997,-43.999999999999595,9.000000000014552,-587.0000000000033,-13.999999999995794,-49.99999999999716,-119.99999999999788,,-1102.999999999982
2019.01.16,-247.00000000001944,-181.9999999999933,-147.99999999999258,-372.99999999999045,-727.0000000000039,-106.99999999999932,-197.00000000000273,-111.99999999998988,,-2092.9999999999914
2019.01.16,-287.000000000015,-204.99999999999963,-175.99999999999838,-435.9999999999786,-772.0000000000056,-155.9999999999917,-240.99999999999966,-135.99999999999167,,-2408.9999999999804
2019.01.16,-220.00000000002018,-180.99999999999784,-182.99999999999983,-298.0000000000018,-795.0000000000017,-104.99999999998977,-245.9999999999951,-132.99999999999423,,-2161.0000000000005
2019.01.16,-201.00000000000674,-156.99999999999602,-186.99999999999272,-186.9999999999834,-659.000000000006,-31.999999999996476,-194.00000000000261,-100.00000000000009,,-1716.999999999984
