date,USDCHF,USDJPY,USDCAD,AUDUSD,CADCHF,EURJPY,AUDJPY,empty,sum
2020.11.11,1629.0000000000027,1777.9999999999916,-253.99999999999866,-221.00000000000452,1432.0,1492.999999999995,-1566.0000000000025,,4290.999999999983
2020.11.11,1619.9999999999993,1812.9999999999882,-296.0000000000074,-348.00000000000387,1461.0000000000011,1518.9999999999914,-1704.9999999999982,,4063.999999999971
2020.11.11,1634.9999999999975,1763.999999999996,-260.0000000000158,-432.0000000000102,1428.000000000007,1519.999999999996,-1780.0000000000011,,3874.99999999997
2020.11.11,1646.000000000003,1766.999999999996,-189.00000000001694,-426.9999999999996,1436.9999999999993,1503.0,-1762.0000000000005,,3974.9999999999814
2020.11.11,1656.0000000000018,1777.9999999999916,-179.00000000001802,-392.00000000000347,1443.0000000000055,1494.9999999999905,-1733.9999999999945,,4066.9999999999727
2020.11.11,1685.0000000000032,1818.9999999999884,-106.00000000000608,-349.0000000000104,1417.999999999997,1531.9999999999964,-1719.9999999999989,,4278.99999999997
2020.11.11,1702.0000000000034,1847.999999999999,-66.00000000001049,-367.0000000000062,1424.000000000003,1539.0000000000014,-1784.000000000006,,4295.999999999985
2020.11.11,1695.000000000002,1860.99999999999,-80.00000000001339,-373.00000000000114,1402.9999999999986,1567.9999999999977,-1784.000000000006,,4289.999999999969
2020.11.11,1700.0000000000016,1900.9999999999964,-92.00000000000318,-360.0000000000048,1431.0000000000045,1606.9999999999993,-1808.9999999999975,,4377.999999999996
2020.11.11,1722.0000000000014,1973.9999999999895,-87.00000000001484,-328.0000000000061,1439.0000000000014,1658.9999999999918,-1808.9999999999975,,4569.999999999965
2020.11.11,1705.000000000001,1990.9999999999995,-123.00000000000644,-396.00000000000745,1436.0000000000039,1723.9999999999895,-1963.9999999999986,,4372.999999999982
2020.11.11,1758.000000000004,2067.9999999999977,-82.00000000000429,-326.0000000000041,1434.9999999999975,1674.9999999999973,-1891.999999999996,,4635.999999999993
2020.11.11,1802.999999999999,2061.9999999999977,0.9999999999843467,-229.00000000000142,1433.0000000000066,1527.000000000001,-1778.9999999999964,,4817.999999999991
2020.11.11,1895.0000000000023,2137.0000000000005,-11.00000000000545,-236.00000000000287,1480.999999999999,1537.9999999999968,-1849.0000000000036,,4954.999999999987
2020.11.11,1878.0000000000018,2112.9999999999995,-73.99999999999629,-278.00000000000045,1536.9999999999995,1572.9999999999932,-1867.999999999995,,4881.000000000002
