date,EURUSD,USDCAD,AUDCHF,EURJPY,EURAUD,empty,sum
2019.11.13,-96.00000000000719,-186.99999999998164,-573.9999999999967,-512.0000000000005,-577.9999999999897,,-1946.9999999999754
2019.11.13,-97.9999999999981,-168.99999999999693,-563.0000000000024,-467.9999999999893,-503.000000000009,,-1800.999999999996
2019.11.13,-83.9999999999952,-190.99999999998562,-531.9999999999991,-444.9999999999932,-400.00000000000034,,-1651.9999999999736
2019.11.13,-102.00000000000209,-225.99999999999287,-566.9999999999953,-437.9999999999882,-492.0000000000035,,-1824.9999999999818
2019.11.13,-96.99999999999153,-229.99999999999687,-565.9999999999999,-397.99999999999613,-517.9999999999962,,-1808.999999999981
2019.11.13,-62.99999999999084,-235.99999999999176,-561.0000000000003,-296.99999999999704,-495.000000000001,,-1651.999999999981
2019.11.13,-68.00000000000139,-226.99999999999943,-561.0000000000003,-292.99999999999216,-487.99999999999955,,-1636.9999999999927
2019.11.13,-62.99999999999084,-210.99999999998343,-563.9999999999978,-298.9999999999924,-452.00000000000796,,-1588.9999999999725
2019.11.13,-52.99999999999194,-221.99999999998886,-570.0000000000039,-292.99999999999216,-400.00000000000034,,-1537.9999999999773
2019.11.13,-42.999999999993044,-219.99999999999798,-566.9999999999953,-256.0000000000002,-394.00000000000546,,-1479.999999999992
2019.11.13,-56.99999999999594,-223.99999999997976,-578.0000000000007,-240.99999999999966,-374.0000000000077,,-1473.9999999999836
2019.11.13,-69.00000000000794,-242.99999999999324,-580.0000000000027,-295.99999999999227,-361.9999999999957,,-1549.9999999999918
2019.11.13,-62.000000000006494,-223.99999999997976,-566.9999999999953,-274.0000000000009,-296.0000000000074,,-1422.99999999999
2019.11.13,-103.99999999999298,-242.99999999999324,-553.0000000000035,-319.9999999999932,-289.9999999999903,,-1509.9999999999732
2019.11.13,-119.00000000000244,-241.99999999998667,-524.9999999999977,-331.99999999999363,-299.00000000000483,,-1516.9999999999852
2019.11.13,-192.99999999999872,-340.9999999999913,-534.0000000000011,-394.999999999996,-234.00000000000088,,-1696.9999999999882
2019.11.13,-194.0000000000053,-345.99999999997965,-586.9999999999931,-325.9999999999934,-336.00000000000296,,-1788.9999999999745
2019.11.13,-100.99999999999554,-408.9999999999927,-719.000000000003,-352.99999999999443,-577.0000000000052,,-2158.999999999991
2019.11.13,-69.9999999999923,-425.99999999999307,-822.0000000000005,-440.9999999999883,-814.0000000000036,,-2572.9999999999777
2019.11.13,-56.99999999999594,-411.99999999999017,-837.9999999999943,-423.9999999999924,-845.9999999999912,,-2576.999999999964
2019.11.13,-70.99999999999883,-415.99999999999415,-795.0000000000013,-463.99999999999864,-760.9999999999894,,-2506.9999999999823
2019.11.13,-97.9999999999981,-417.0000000000007,-819.0000000000031,-429.9999999999926,-778.9999999999964,,-2542.999999999991
2019.11.13,-120.00000000000898,-410.99999999998363,-808.9999999999931,-512.0000000000005,-747.0000000000088,,-2598.999999999995
2019.11.13,-113.99999999999189,-402.9999999999978,-824.999999999998,-585.9999999999985,-733.9999999999902,,-2661.9999999999764
2019.11.13,-188.00000000001037,-410.99999999998363,-846.9999999999977,-673.9999999999924,-727.9999999999953,,-2847.9999999999795
2019.11.13,-151.9999999999966,-434.000000000001,-863.9999999999981,-594.9999999999989,-713.9999999999924,,-2758.999999999987
2019.11.13,-164.00000000000858,-417.0000000000007,-881.9999999999939,-670.9999999999923,-659.999999999994,,-2793.9999999999895
2019.11.13,-174.00000000000747,-318.9999999999804,-773.9999999999969,-706.9999999999936,-679.9999999999917,,-2653.99999999997
2019.11.13,-171.99999999999437,-330.9999999999924,-792.9999999999993,-736.9999999999948,-717.9999999999964,,-2750.9999999999773
2019.11.13,-151.9999999999966,-241.99999999998667,-773.0000000000015,-724.9999999999943,-695.0000000000011,,-2586.99999999998
2019.11.13,-154.99999999999403,-234.99999999998522,-790.9999999999973,-798.0000000000018,-587.9999999999885,,-2566.999999999967
2019.11.13,-185.99999999999727,-246.99999999999721,-810.9999999999951,-723.9999999999895,-608.9999999999928,,-2576.999999999972
2019.11.13,-178.99999999999582,-212.99999999999653,-805.0000000000001,-696.9999999999885,-540.9999999999915,,-2434.9999999999723
2019.11.13,-232.00000000000998,-229.99999999999687,-810.9999999999951,-715.999999999994,-510.99999999999477,,-2499.999999999991
2019.11.13,-198.00000000000927,-190.99999999998562,-778.9999999999964,-695.999999999998,-419.9999999999982,,-2283.9999999999873
2019.11.13,-204.00000000000418,-190.99999999998562,-751.0000000000017,-668.9999999999969,-407.0000000000018,,-2221.99999999999
2019.11.13,-184.99999999999073,-373.99999999998545,-817.000000000001,-795.0000000000017,-504.9999999999999,,-2675.999999999979
2019.11.13,-150.00000000000568,-308.9999999999815,-854.9999999999947,-763.9999999999958,-517.9999999999962,,-2595.999999999974
2019.11.13,-175.99999999999838,-306.9999999999906,-836.9999999999989,-763.9999999999958,-502.00000000000244,,-2585.999999999986
2019.11.13,-185.99999999999727,-315.99999999998295,-795.9999999999967,-713.9999999999986,-465.99999999998863,,-2477.999999999964
2019.11.13,-143.00000000000423,-296.9999999999917,-766.9999999999955,-674.9999999999972,-448.9999999999883,,-2330.999999999977
2019.11.13,-165.9999999999995,-289.9999999999903,-751.0000000000017,-658.9999999999918,-414.9999999999876,,-2280.999999999971
2019.11.13,-160.99999999998892,-298.9999999999826,-705.0000000000001,-625.9999999999906,-397.0000000000029,,-2187.999999999965
2019.11.14,-147.99999999999258,-276.9999999999939,-775.9999999999989,-676.9999999999925,-377.9999999999894,,-2255.9999999999673
2019.11.14,-123.00000000000644,-292.9999999999877,-854.9999999999947,-652.9999999999916,-472.9999999999901,,-2396.9999999999704
2019.11.14,-107.99999999999699,-289.9999999999903,-746.9999999999976,-643.9999999999912,-487.99999999999955,,-2276.999999999976
2019.11.14,-104.99999999999955,-295.0000000000008,-710.999999999995,-625.0,-432.9999999999945,,-2168.99999999999
2019.11.14,-106.00000000000608,-307.99999999999716,-797.0000000000033,-662.9999999999967,-465.0000000000043,,-2339.0000000000073
2019.11.14,-129.00000000000134,-371.99999999999454,-1046.999999999998,-707.9999999999984,-1204.9999999999893,,-3460.999999999982
2019.11.14,-143.99999999998857,-325.99999999998187,-1005.9999999999958,-667.0000000000016,-1129.0000000000023,,-3271.9999999999704
2019.11.14,-150.00000000000568,-322.9999999999844,-961.9999999999961,-656.9999999999965,-1096.9999999999925,,-3188.9999999999754
2019.11.14,-171.00000000001003,-322.00000000000006,-1036.999999999999,-721.9999999999942,-1241.0000000000032,,-3493.0000000000064
2019.11.14,-188.00000000001037,-361.9999999999957,-1073.0000000000018,-799.9999999999972,-1249.9999999999955,,-3673.0000000000005
2019.11.14,-174.00000000000747,-356.9999999999851,-1114.9999999999993,-768.0000000000007,-1302.9999999999875,,-3716.99999999998
2019.11.14,-157.00000000000713,-331.999999999999,-1112.0000000000018,-771.0000000000008,-1295.0000000000018,,-3667.0000000000105
2019.11.14,-157.99999999999147,-342.9999999999822,-1142.999999999994,-841.9999999999987,-1330.9999999999934,,-3816.99999999996
2019.11.14,-184.00000000000637,-342.9999999999822,-1105.0000000000005,-819.9999999999932,-1266.999999999996,,-3718.999999999978
2019.11.14,-235.00000000000742,-380.9999999999869,-1086.9999999999936,-850.9999999999991,-1245.0000000000073,,-3798.9999999999945
2019.11.14,-219.99999999999798,-371.99999999999454,-1073.9999999999973,-818.9999999999884,-1163.000000000003,,-3647.999999999981
