timeframe,profit,0,timeframe1,drawup,1,timeframe2,drawdown
2021.10.28 05:00,1445.0000000000043,,2021.10.27 11:00,1028.0000000000005,,2021.10.26 00:00,303.999999999991
2021.10.28 04:30,563.0000000000143,,2021.10.27 09:30,1011.0000000000016,,2021.10.25 10:00,307.99999999997453
2021.10.28 04:00,96.00000000000875,,2021.10.25 10:30,997.0000000000318,,2021.10.26 02:00,317.0000000000257
2021.10.28 03:30,-27.999999999998863,,2021.10.25 23:00,946.0000000000098,,2021.10.26 02:30,326.0000000000373
2021.10.28 03:00,173.00000000006025,,2021.10.27 12:00,937.0000000000165,,2021.10.26 06:30,338.0000000000088
2021.10.28 02:30,468.99999999997505,,2021.10.25 21:30,930.000000000026,,2021.10.26 03:30,348.00000000002626
2021.10.28 02:00,562.0000000000425,,2021.10.25 08:30,924.0000000000202,,2021.10.25 09:30,364.00000000001364
2021.10.28 01:30,248.0000000000117,,2021.10.29 19:30,903.0000000000462,,2021.10.25 00:30,371.00000000003064
2021.10.28 01:00,648.0000000000207,,2021.10.27 13:30,886.0000000000354,,2021.10.25 02:00,378.0000000000167
2021.10.28 00:30,650.0000000000181,,2021.10.27 10:00,867.0000000000425,,2021.10.25 17:00,382.00000000004053
2021.10.28 00:00,16.00000000002717,,2021.10.25 22:30,859.0000000000045,,2021.10.27 11:30,385.9999999999983
2021.10.27 23:30,429.00000000005696,,2021.10.27 22:30,853.999999999997,,2021.10.25 06:00,389.0000000000083
2021.10.27 23:00,559.0000000000506,,2021.10.28 12:00,827.0000000000296,,2021.10.26 14:00,400.00000000001575
2021.10.27 22:30,853.999999999997,,2021.10.28 12:30,788.0000000000083,,2021.10.27 23:30,429.00000000005696
2021.10.27 22:00,744.9999999999986,,2021.10.26 09:00,767.000000000028,,2021.10.27 19:30,431.00000000003365
2021.10.27 21:30,751.000000000027,,2021.10.27 20:00,765.9999999999934,,2021.10.25 23:30,439.00000000003774
2021.10.27 21:00,670.0000000000454,,2021.10.25 22:00,754.9999999999974,,2021.10.25 18:00,444.0000000000182
2021.10.27 20:30,667.0000000000223,,2021.10.25 07:30,754.0000000000042,,2021.10.28 02:30,468.99999999997505
2021.10.27 20:00,765.9999999999934,,2021.10.27 21:30,751.000000000027,,2021.10.29 18:00,491.00000000001353
2021.10.27 19:30,431.00000000003365,,2021.10.25 09:00,747.0000000000052,,2021.10.27 13:00,498.0000000000249
2021.10.27 19:00,533.0000000000327,,2021.10.27 22:00,744.9999999999986,,2021.10.26 00:30,502.0000000000498
2021.10.27 18:30,89.00000000006298,,2021.10.25 11:00,744.0000000000173,,2021.10.27 07:30,522.0000000000326
2021.10.27 18:00,-38.99999999999602,,2021.10.25 19:00,742.9999999999895,,2021.10.26 14:30,523.0000000000296
2021.10.27 17:30,-189.9999999999672,,2021.10.25 20:00,735.0000000000339,,2021.10.27 19:00,533.0000000000327
2021.10.27 17:00,-1456.9999999999973,,2021.10.29 19:00,716.0000000000126,,2021.10.25 01:00,548.0000000000001
2021.10.27 16:30,3384.000000000019,,2021.10.25 06:30,702.0000000000556,,2021.10.25 01:30,558.0000000000155
2021.10.27 16:00,3776.000000000022,,2021.10.25 08:00,683.0000000000033,,2021.10.27 23:00,559.0000000000506
2021.10.27 15:30,3266.0000000000273,,2021.10.29 21:00,677.0000000000185,,2021.10.28 02:00,562.0000000000425
2021.10.27 15:00,2515.0000000000337,,2021.10.27 21:00,670.0000000000454,,2021.10.25 03:30,562.9999999999976
2021.10.27 14:30,1801.0000000000605,,2021.10.27 20:30,667.0000000000223,,2021.10.28 04:30,563.0000000000143
2021.10.27 14:00,1635.0000000000562,,2021.10.25 07:00,660.0000000000425,,2021.10.27 09:00,568.9999999999881
2021.10.27 13:30,886.0000000000354,,2021.10.27 12:30,650.0000000000838,,2021.10.26 09:30,588.0000000000091
2021.10.27 13:00,498.0000000000249,,2021.10.28 00:30,650.0000000000181,,2021.10.25 20:30,597.0000000000083
2021.10.27 12:30,650.0000000000838,,2021.10.28 01:00,648.0000000000207,,2021.10.25 17:30,610.0000000000659
2021.10.27 12:00,937.0000000000165,,2021.10.25 19:30,633.0000000000315,,2021.10.29 20:30,622.0000000000322
2021.10.27 11:30,385.9999999999983,,2021.10.29 20:30,622.0000000000322,,2021.10.25 19:30,633.0000000000315
2021.10.27 11:00,1028.0000000000005,,2021.10.25 17:30,610.0000000000659,,2021.10.28 01:00,648.0000000000207
2021.10.27 10:30,1211.0000000000523,,2021.10.25 20:30,597.0000000000083,,2021.10.28 00:30,650.0000000000181
2021.10.27 10:00,867.0000000000425,,2021.10.26 09:30,588.0000000000091,,2021.10.27 12:30,650.0000000000838
2021.10.27 09:30,1011.0000000000016,,2021.10.27 09:00,568.9999999999881,,2021.10.25 07:00,660.0000000000425
2021.10.27 09:00,568.9999999999881,,2021.10.28 04:30,563.0000000000143,,2021.10.27 20:30,667.0000000000223
